narration,main_category,main_confidence,main_top3,sub_category,sub_confidence,sub_top3,time_taken_sec
Microsoft Office 365 License,Software Licensing,0.9823,"('Software Licensing (98.2%) | Others (0.4%) | Infrastructure (0.4%)', 0.9823)",Enterprise Software,0.674,Enterprise Software (67.4%) | Productivity Suites (20.1%) | Virtualization (12.5%),1.1698
Microsoft Office 365 License,Software Licensing,0.9823,"('Software Licensing (98.2%) | Others (0.4%) | Infrastructure (0.4%)', 0.9823)",Enterprise Software,0.674,Enterprise Software (67.4%) | Productivity Suites (20.1%) | Virtualization (12.5%),1.169
VMware vSphere License Renewal,Software Licensing,0.9821,"('Software Licensing (98.2%) | Maintenance & Support (0.7%) | Network & Security (0.6%)', 0.9821)",Virtualization,0.5908,Virtualization (59.1%) | Enterprise Software (30.9%) | Productivity Suites (10.0%),1.3593
VMware vSphere License Renewal,Software Licensing,0.9821,"('Software Licensing (98.2%) | Maintenance & Support (0.7%) | Network & Security (0.6%)', 0.9821)",Virtualization,0.5908,Virtualization (59.1%) | Enterprise Software (30.9%) | Productivity Suites (10.0%),1.2777
Network Firewall Support Contract,Network & Security,0.9779,"('Network & Security (97.8%) | Infrastructure (0.8%) | Maintenance & Support (0.6%)', 0.9779)",Firewall Support,0.7891,Firewall Support (78.9%) | Network Maintenance (21.1%),1.1296
Penetration Testing - Q3,Network & Security,0.9766,"('Network & Security (97.7%) | Software Licensing (0.7%) | Infrastructure (0.6%)', 0.9766)",Firewall Support,0.7983,Firewall Support (79.8%) | Network Maintenance (20.2%),1.1379
Penetration Testing - Q3,Network & Security,0.9766,"('Network & Security (97.7%) | Software Licensing (0.7%) | Infrastructure (0.6%)', 0.9766)",Firewall Support,0.7983,Firewall Support (79.8%) | Network Maintenance (20.2%),1.4825
Penetration Testing - Q3,Network & Security,0.9766,"('Network & Security (97.7%) | Software Licensing (0.7%) | Infrastructure (0.6%)', 0.9766)",Firewall Support,0.7983,Firewall Support (79.8%) | Network Maintenance (20.2%),1.1618
Penetration Testing - Q3,Network & Security,0.9766,"('Network & Security (97.7%) | Software Licensing (0.7%) | Infrastructure (0.6%)', 0.9766)",Firewall Support,0.7983,Firewall Support (79.8%) | Network Maintenance (20.2%),1.1576
Penetration Testing - Q3,Network & Security,0.9766,"('Network & Security (97.7%) | Software Licensing (0.7%) | Infrastructure (0.6%)', 0.9766)",Firewall Support,0.7983,Firewall Support (79.8%) | Network Maintenance (20.2%),1.1767
Penetration Testing Services,Network & Security,0.9739,"('Network & Security (97.4%) | Others (1.2%) | Software Licensing (0.6%)', 0.9739)",Firewall Support,0.821,Firewall Support (82.1%) | Network Maintenance (17.9%),1.2795
Penetration Testing Services,Network & Security,0.9739,"('Network & Security (97.4%) | Others (1.2%) | Software Licensing (0.6%)', 0.9739)",Firewall Support,0.821,Firewall Support (82.1%) | Network Maintenance (17.9%),1.1497
VMwar3 vSphere License Renewal,Software Licensing,0.9721,"('Software Licensing (97.2%) | Network & Security (1.4%) | Infrastructure (0.6%)', 0.9721)",Virtualization,0.5939,Virtualization (59.4%) | Enterprise Software (32.7%) | Productivity Suites (7.9%),1.2285
VMwar3 vSphere License Renewal,Software Licensing,0.9721,"('Software Licensing (97.2%) | Network & Security (1.4%) | Infrastructure (0.6%)', 0.9721)",Virtualization,0.5939,Virtualization (59.4%) | Enterprise Software (32.7%) | Productivity Suites (7.9%),1.2313
VMware vsphere lic renewal,Software Licensing,0.9711,"('Software Licensing (97.1%) | Infrastructure (1.3%) | Network & Security (1.1%)', 0.9711)",Virtualization,0.7644,Virtualization (76.4%) | Enterprise Software (18.6%) | Productivity Suites (5.0%),1.2776
VMW vSph3re License,Software Licensing,0.9674,"('Software Licensing (96.7%) | Network & Security (1.8%) | Infrastructure (1.2%)', 0.9674)",Virtualization,0.7616,Virtualization (76.2%) | Enterprise Software (16.0%) | Productivity Suites (7.8%),1.1998
vmware license fee,Software Licensing,0.9642,"('Software Licensing (96.4%) | Network & Security (2.0%) | Infrastructure (1.0%)', 0.9642)",Virtualization,0.8187,Virtualization (81.9%) | Enterprise Software (11.0%) | Productivity Suites (7.2%),1.1653
vmware license fee,Software Licensing,0.9642,"('Software Licensing (96.4%) | Network & Security (2.0%) | Infrastructure (1.0%)', 0.9642)",Virtualization,0.8187,Virtualization (81.9%) | Enterprise Software (11.0%) | Productivity Suites (7.2%),1.1523
vmware license fee,Software Licensing,0.9642,"('Software Licensing (96.4%) | Network & Security (2.0%) | Infrastructure (1.0%)', 0.9642)",Virtualization,0.8187,Virtualization (81.9%) | Enterprise Software (11.0%) | Productivity Suites (7.2%),1.1863
SAP ERP annual maint,Maintenance & Support,0.9606,"('Maintenance & Support (96.1%) | Software Licensing (2.2%) | Others (0.7%)', 0.9606)",Annual Maintenance Contracts,0.6757,Annual Maintenance Contracts (67.6%) | ERP Maintenance (32.4%),1.2858
SAP ERP annual maint,Maintenance & Support,0.9606,"('Maintenance & Support (96.1%) | Software Licensing (2.2%) | Others (0.7%)', 0.9606)",Annual Maintenance Contracts,0.6757,Annual Maintenance Contracts (67.6%) | ERP Maintenance (32.4%),1.1696
datac3nter colo chg,Network & Security,0.9482,"('Network & Security (94.8%) | Infrastructure (2.5%) | Others (1.2%)', 0.9482)",Firewall Support,0.5406,Firewall Support (54.1%) | Network Maintenance (45.9%),1.2246
network firewall supp. contract,Network & Security,0.9365,"('Network & Security (93.7%) | Infrastructure (3.0%) | Maintenance & Support (1.1%)', 0.9365)",Firewall Support,0.7998,Firewall Support (80.0%) | Network Maintenance (20.0%),1.3946
network firewall supp. contract,Network & Security,0.9365,"('Network & Security (93.7%) | Infrastructure (3.0%) | Maintenance & Support (1.1%)', 0.9365)",Firewall Support,0.7998,Firewall Support (80.0%) | Network Maintenance (20.0%),1.1536
network firewall supp. contract,Network & Security,0.9365,"('Network & Security (93.7%) | Infrastructure (3.0%) | Maintenance & Support (1.1%)', 0.9365)",Firewall Support,0.7998,Firewall Support (80.0%) | Network Maintenance (20.0%),1.147
Fortinet FW Support,Network & Security,0.927,"('Network & Security (92.7%) | Infrastructure (4.3%) | Software Licensing (1.2%)', 0.927)",Firewall Support,0.9088,Firewall Support (90.9%) | Network Maintenance (9.1%),1.1771
Office365 subscrpition,Software Licensing,0.9198,"('Software Licensing (92.0%) | Others (2.9%) | Network & Security (2.1%)', 0.9198)",Enterprise Software,0.5528,Enterprise Software (55.3%) | Productivity Suites (23.8%) | Virtualization (20.9%),1.2341
FW support contract,Maintenance & Support,0.9176,"('Maintenance & Support (91.8%) | Others (2.9%) | Network & Security (1.9%)', 0.9176)",Annual Maintenance Contracts,0.6274,Annual Maintenance Contracts (62.7%) | ERP Maintenance (37.3%),1.1647
FW support contract,Maintenance & Support,0.9176,"('Maintenance & Support (91.8%) | Others (2.9%) | Network & Security (1.9%)', 0.9176)",Annual Maintenance Contracts,0.6274,Annual Maintenance Contracts (62.7%) | ERP Maintenance (37.3%),1.1213
vmwar3 license fee,Software Licensing,0.9099,"('Software Licensing (91.0%) | Network & Security (6.4%) | Infrastructure (1.7%)', 0.9099)",Virtualization,0.8268,Virtualization (82.7%) | Enterprise Software (11.3%) | Productivity Suites (6.0%),1.1774
Colo F3e - Rack Space,Network & Security,0.8956,"('Network & Security (89.6%) | Infrastructure (8.3%) | Software Licensing (0.9%)', 0.8956)",Firewall Support,0.7935,Firewall Support (79.3%) | Network Maintenance (20.6%),1.2266
SAP ERP Annual Maint3nance,Maintenance & Support,0.8946,"('Maintenance & Support (89.5%) | Governance & Compliance (5.1%) | Software Licensing (2.2%)', 0.8946)",Annual Maintenance Contracts,0.5818,Annual Maintenance Contracts (58.2%) | ERP Maintenance (41.8%),1.283
aws 3c2 compute,Infrastructure,0.8588,"('Infrastructure (85.9%) | Network & Security (8.0%) | Software Licensing (2.8%)', 0.8588)",Cloud Compute,0.9611,Cloud Compute (96.1%) | Colocation & Data Center (3.9%),1.1818
Zoom Enterprise Subscription,Software Licensing,0.7929,"('Software Licensing (79.3%) | Others (5.7%) | Network & Security (4.7%)', 0.7929)",Enterprise Software,0.7304,Enterprise Software (73.0%) | Productivity Suites (15.6%) | Virtualization (11.3%),1.1849
Zoom Enterprise Subscription,Software Licensing,0.7929,"('Software Licensing (79.3%) | Others (5.7%) | Network & Security (4.7%)', 0.7929)",Enterprise Software,0.7304,Enterprise Software (73.0%) | Productivity Suites (15.6%) | Virtualization (11.3%),1.2122
AWS EC2 chg,Infrastructure,0.751,"('Infrastructure (75.1%) | Network & Security (17.8%) | Software Licensing (4.6%)', 0.751)",Cloud Compute,0.9197,Cloud Compute (92.0%) | Colocation & Data Center (8.0%),1.0945
AWS EC2 chg,Infrastructure,0.751,"('Infrastructure (75.1%) | Network & Security (17.8%) | Software Licensing (4.6%)', 0.751)",Cloud Compute,0.9197,Cloud Compute (92.0%) | Colocation & Data Center (8.0%),1.5112
AWS EC2 chg,Infrastructure,0.751,"('Infrastructure (75.1%) | Network & Security (17.8%) | Software Licensing (4.6%)', 0.751)",Cloud Compute,0.9197,Cloud Compute (92.0%) | Colocation & Data Center (8.0%),1.1796
AWS EC2 chg,Infrastructure,0.751,"('Infrastructure (75.1%) | Network & Security (17.8%) | Software Licensing (4.6%)', 0.751)",Cloud Compute,0.9197,Cloud Compute (92.0%) | Colocation & Data Center (8.0%),1.2115
AWS EC2 chg,Infrastructure,0.751,"('Infrastructure (75.1%) | Network & Security (17.8%) | Software Licensing (4.6%)', 0.751)",Cloud Compute,0.9197,Cloud Compute (92.0%) | Colocation & Data Center (8.0%),1.1715
Firewall AMC,Network & Security,0.7499,"('Network & Security (75.0%) | Software Licensing (14.6%) | Infrastructure (4.1%)', 0.7499)",Firewall Support,0.8671,Firewall Support (86.7%) | Network Maintenance (13.3%),1.1205
AWS EC2 Compute Charges,Infrastructure,0.7111,"('Infrastructure (71.1%) | Network & Security (13.5%) | Software Licensing (7.9%)', 0.7111)",Cloud Compute,0.9425,Cloud Compute (94.2%) | Colocation & Data Center (5.8%),1.1255
AWS EC2 Compute Charges,Infrastructure,0.7111,"('Infrastructure (71.1%) | Network & Security (13.5%) | Software Licensing (7.9%)', 0.7111)",Cloud Compute,0.9425,Cloud Compute (94.2%) | Colocation & Data Center (5.8%),1.1497
AWS EC2 Compute Charges,Infrastructure,0.7111,"('Infrastructure (71.1%) | Network & Security (13.5%) | Software Licensing (7.9%)', 0.7111)",Cloud Compute,0.9425,Cloud Compute (94.2%) | Colocation & Data Center (5.8%),1.2323
Colo Fee - Rack Space,Infrastructure,0.7092,"('Infrastructure (70.9%) | Network & Security (23.2%) | Others (3.1%)', 0.7092)",Cloud Compute,0.6514,Cloud Compute (65.1%) | Colocation & Data Center (34.9%),1.1822
Pen test svcs,Network & Security,0.6942,"('Network & Security (69.4%) | Others (11.8%) | Infrastructure (10.7%)', 0.6942)",Firewall Support,0.5989,Firewall Support (59.9%) | Network Maintenance (40.1%),1.1369
Pen test svcs,Network & Security,0.6942,"('Network & Security (69.4%) | Others (11.8%) | Infrastructure (10.7%)', 0.6942)",Firewall Support,0.5989,Firewall Support (59.9%) | Network Maintenance (40.1%),1.1797
datacenter colo chg,Network & Security,0.679,"('Network & Security (67.9%) | Infrastructure (17.7%) | Governance & Compliance (4.7%)', 0.679)",Network Maintenance,0.5046,Network Maintenance (50.5%) | Firewall Support (49.5%),1.4614
Fortin3t FW Support,Network & Security,0.6727,"('Network & Security (67.3%) | Maintenance & Support (12.2%) | Software Licensing (10.1%)', 0.6727)",Firewall Support,0.9354,Firewall Support (93.5%) | Network Maintenance (6.5%),1.192
Security Pen-Test Charges,Network & Security,0.6149,"('Network & Security (61.5%) | Others (19.1%) | Software Licensing (13.0%)', 0.6149)",Firewall Support,0.7454,Firewall Support (74.5%) | Network Maintenance (25.5%),1.1482
AWS ec2 comptue charges,Infrastructure,0.6039,"('Infrastructure (60.4%) | Network & Security (28.3%) | Software Licensing (6.6%)', 0.6039)",Cloud Compute,0.8954,Cloud Compute (89.5%) | Colocation & Data Center (10.5%),1.2008
AWS ec2 comptue charges,Infrastructure,0.6039,"('Infrastructure (60.4%) | Network & Security (28.3%) | Software Licensing (6.6%)', 0.6039)",Cloud Compute,0.8954,Cloud Compute (89.5%) | Colocation & Data Center (10.5%),1.17
S/4HANA Maint3nance,Network & Security,0.6032,"('Network & Security (60.3%) | Maintenance & Support (27.9%) | Infrastructure (4.3%)', 0.6032)",Network Maintenance,0.5639,Network Maintenance (56.4%) | Firewall Support (43.6%),1.2056
Data C3nter Colocation Fee,Network & Security,0.5945,"('Network & Security (59.5%) | Infrastructure (29.0%) | Software Licensing (4.7%)', 0.5945)",Firewall Support,0.5126,Firewall Support (51.3%) | Network Maintenance (48.7%),1.1956
data centre colocation,Infrastructure,0.5916,"('Infrastructure (59.2%) | Network & Security (36.6%) | Governance & Compliance (1.4%)', 0.5916)",Colocation & Data Center,0.842,Colocation & Data Center (84.2%) | Cloud Compute (15.8%),1.6098
data centre colocation,Infrastructure,0.5916,"('Infrastructure (59.2%) | Network & Security (36.6%) | Governance & Compliance (1.4%)', 0.5916)",Colocation & Data Center,0.842,Colocation & Data Center (84.2%) | Cloud Compute (15.8%),1.1267
data centre colocation,Infrastructure,0.5916,"('Infrastructure (59.2%) | Network & Security (36.6%) | Governance & Compliance (1.4%)', 0.5916)",Colocation & Data Center,0.842,Colocation & Data Center (84.2%) | Cloud Compute (15.8%),1.1555
data centre colocation,Infrastructure,0.5916,"('Infrastructure (59.2%) | Network & Security (36.6%) | Governance & Compliance (1.4%)', 0.5916)",Colocation & Data Center,0.842,Colocation & Data Center (84.2%) | Cloud Compute (15.8%),1.1668
DC Colocation Charges,Network & Security,0.5417,"('Network & Security (54.2%) | Infrastructure (26.6%) | Others (8.2%)', 0.5417)",Firewall Support,0.5043,Firewall Support (50.4%) | Network Maintenance (49.6%),1.1537
firewal support renewal,Maintenance & Support,0.5305,"('Maintenance & Support (53.0%) | Network & Security (27.7%) | Software Licensing (9.6%)', 0.5305)",Annual Maintenance Contracts,0.5843,Annual Maintenance Contracts (58.4%) | ERP Maintenance (41.6%),1.3453
firewal support renewal,Maintenance & Support,0.5305,"('Maintenance & Support (53.0%) | Network & Security (27.7%) | Software Licensing (9.6%)', 0.5305)",Annual Maintenance Contracts,0.5843,Annual Maintenance Contracts (58.4%) | ERP Maintenance (41.6%),1.1845
firewal support renewal,Maintenance & Support,0.5305,"('Maintenance & Support (53.0%) | Network & Security (27.7%) | Software Licensing (9.6%)', 0.5305)",Annual Maintenance Contracts,0.5843,Annual Maintenance Contracts (58.4%) | ERP Maintenance (41.6%),1.1795
SAP AMC,Software Licensing,0.4624,"('Software Licensing (46.2%) | Network & Security (22.0%) | Maintenance & Support (19.1%)', 0.4624)",Enterprise Software,0.5834,Enterprise Software (58.3%) | Productivity Suites (28.4%) | Virtualization (13.3%),1.1928
coloc rack fee,Others,0.4557,"('Others (45.6%) | Software Licensing (16.9%) | Governance & Compliance (14.4%)', 0.4557)",Costs related to:,0,"N/A (dynamically generated, not a closed-set probability)",2.0111
DC coloc fee,Network & Security,0.4529,"('Network & Security (45.3%) | Others (17.8%) | Infrastructure (16.4%)', 0.4529)",Network Maintenance,0.5285,Network Maintenance (52.8%) | Firewall Support (47.1%),1.1814
Zoom Ent. subscrpition,Software Licensing,0.4118,"('Software Licensing (41.2%) | Others (34.3%) | Network & Security (7.7%)', 0.4118)",Enterprise Software,0.7484,Enterprise Software (74.8%) | Productivity Suites (15.9%) | Virtualization (9.3%),1.2482
sap amc r3newal fy,Software Licensing,0.4017,"('Software Licensing (40.2%) | Network & Security (31.3%) | Maintenance & Support (13.1%)', 0.4017)",Enterprise Software,0.6366,Enterprise Software (63.7%) | Productivity Suites (23.8%) | Virtualization (12.6%),1.2354
pentest engagement fee,Others,0.3865,"('Others (38.6%) | Governance & Compliance (20.3%) | Maintenance & Support (14.4%)', 0.3865)",Cost of Engagement,0,"N/A (dynamically generated, not a closed-set probability)",1.9841
pentest engagement fee,Others,0.3865,"('Others (38.6%) | Governance & Compliance (20.3%) | Maintenance & Support (14.4%)', 0.3865)",Cost of Engagement,0,"N/A (dynamically generated, not a closed-set probability)",2.0598
ZOOM SUBSCRIPTION CHG,Others,0.3711,"('Others (37.1%) | Software Licensing (32.7%) | Network & Security (11.1%)', 0.3711)",Costs related to:,0,"N/A (dynamically generated, not a closed-set probability)",2.0591
ZOOM SUBSCRIPTION CHG,Others,0.3711,"('Others (37.1%) | Software Licensing (32.7%) | Network & Security (11.1%)', 0.3711)",Costs related to:,0,"N/A (dynamically generated, not a closed-set probability)",1.9914
S3curity Pen-Test Charges,Others,0.3367,"('Others (33.7%) | Network & Security (28.1%) | Governance & Compliance (18.5%)', 0.3367)",Security Pen-Test,0,"N/A (dynamically generated, not a closed-set probability)",2.0014
coloc rack f3e,Network & Security,0.3199,"('Network & Security (32.0%) | Governance & Compliance (21.1%) | Infrastructure (17.4%)', 0.3199)",Firewall Support,0.591,Firewall Support (59.1%) | Network Maintenance (40.9%),1.1177
p3ntest engagement fee,Network & Security,0.3164,"('Network & Security (31.6%) | Others (25.8%) | Governance & Compliance (12.7%)', 0.3164)",Firewall Support,0.7653,Firewall Support (76.5%) | Network Maintenance (23.5%),1.1468
sap amc renewal fy,Others,0.3116,"('Others (31.2%) | Software Licensing (25.2%) | Maintenance & Support (16.3%)', 0.3116)",Costs related to:,0,"N/A (dynamically generated, not a closed-set probability)",7.6516
sap amc renewal fy,Others,0.3116,"('Others (31.2%) | Software Licensing (25.2%) | Maintenance & Support (16.3%)', 0.3116)",Costs related to:,0,"N/A (dynamically generated, not a closed-set probability)",2.3112
sap amc renewal fy,Others,0.3116,"('Others (31.2%) | Software Licensing (25.2%) | Maintenance & Support (16.3%)', 0.3116)",Costs related to:,0,"N/A (dynamically generated, not a closed-set probability)",2.0144
sap amc renewal fy,Others,0.3116,"('Others (31.2%) | Software Licensing (25.2%) | Maintenance & Support (16.3%)', 0.3116)",Costs related to:,0,"N/A (dynamically generated, not a closed-set probability)",2.0355
sap amc renewal fy,Others,0.3116,"('Others (31.2%) | Software Licensing (25.2%) | Maintenance & Support (16.3%)', 0.3116)",Costs related to:,0,"N/A (dynamically generated, not a closed-set probability)",2.0195
zoom ent renewal,Software Licensing,0.2614,"('Software Licensing (26.1%) | Network & Security (19.4%) | Others (18.7%)', 0.2614)",Enterprise Software,0.4148,Enterprise Software (41.5%) | Productivity Suites (31.6%) | Virtualization (26.9%),1.2883
zoom ent renewal,Software Licensing,0.2614,"('Software Licensing (26.1%) | Network & Security (19.4%) | Others (18.7%)', 0.2614)",Enterprise Software,0.4148,Enterprise Software (41.5%) | Productivity Suites (31.6%) | Virtualization (26.9%),1.3967
