narration,main_category,main_confidence,main_top3,sub_category,sub_confidence,sub_top3,time_taken_sec
Storage arrays and SAN equipment for capacity growth,Cloud & Infrastructure,0.8318,"('Cloud & Infrastructure (83.2%) | Cybersecurity & Governance (5.5%) | Integration & Middleware (3.7%)', 0.8318)",Data Platform & Storage,0.5786,Data Platform & Storage (57.9%) | Hyperconverged Infrastructure (22.7%) | CDN & Edge Services (7.2%),1.7634
Consulting services for cloud migration strategy and roadmap - Non-production / DR site,Cloud & Infrastructure,0.8256,"('Cloud & Infrastructure (82.6%) | Managed Services & Support (6.0%) | Professional Services (4.7%)', 0.8256)",Hyperconverged Infrastructure,0.3122,Hyperconverged Infrastructure (31.2%) | Data Platform & Storage (29.1%) | Container & Orchestration (16.6%),1.8224
Annual commitment for disaster recovery site - Microsoft Azure,Cloud & Infrastructure,0.8206,"('Cloud & Infrastructure (82.1%) | Cybersecurity & Governance (8.5%) | Integration & Middleware (2.4%)', 0.8206)",Data Platform & Storage,0.4021,Data Platform & Storage (40.2%) | Hyperconverged Infrastructure (25.1%) | CDN & Edge Services (14.2%),1.8447
High-density computing hardware for AI/ML workloads - OpEx recurring,Cloud & Infrastructure,0.8127,"('Cloud & Infrastructure (81.3%) | Integration & Middleware (4.0%) | Software Licensing (3.5%)', 0.8127)",Hyperconverged Infrastructure,0.3457,Hyperconverged Infrastructure (34.6%) | Data Platform & Storage (30.2%) | CDN & Edge Services (12.8%),1.8192
Monthly hosting for disaster recovery site - AWS,Cloud & Infrastructure,0.8107,"('Cloud & Infrastructure (81.1%) | Cybersecurity & Governance (6.7%) | Managed Services & Support (4.2%)', 0.8107)",Public Cloud Consumption,0.3007,Public Cloud Consumption (30.1%) | Data Platform & Storage (29.5%) | Hyperconverged Infrastructure (21.4%),1.6914
Reserved instance purchase for enterprise application hosting,Cloud & Infrastructure,0.8078,"('Cloud & Infrastructure (80.8%) | Software Licensing (4.9%) | Cybersecurity & Governance (3.7%)', 0.8078)",Hyperconverged Infrastructure,0.3046,Hyperconverged Infrastructure (30.5%) | Container & Orchestration (27.3%) | Data Platform & Storage (19.0%),1.6805
Hardware refresh for servers - Cisco,Cloud & Infrastructure,0.8031,"('Cloud & Infrastructure (80.3%) | Cybersecurity & Governance (4.8%) | Managed Services & Support (4.2%)', 0.8031)",Hyperconverged Infrastructure,0.4523,Hyperconverged Infrastructure (45.2%) | Data Platform & Storage (24.6%) | Container & Orchestration (13.8%),1.7538
IT governance board support and reporting tools - Non-production / DR site,Cloud & Infrastructure,0.7984,"('Cloud & Infrastructure (79.8%) | Cybersecurity & Governance (8.2%) | Integration & Middleware (3.3%)', 0.7984)",Hyperconverged Infrastructure,0.34,Hyperconverged Infrastructure (34.0%) | Data Platform & Storage (23.1%) | CDN & Edge Services (16.2%),1.8748
Reserved instance purchase for enterprise application hosting - OpEx recurring,Cloud & Infrastructure,0.7969,"('Cloud & Infrastructure (79.7%) | Managed Services & Support (5.2%) | Software Licensing (3.9%)', 0.7969)",Hyperconverged Infrastructure,0.3909,Hyperconverged Infrastructure (39.1%) | Container & Orchestration (22.9%) | Data Platform & Storage (17.7%),1.7255
Procurement of servers - Arista,Cloud & Infrastructure,0.795,"('Cloud & Infrastructure (79.5%) | Managed Services & Support (5.6%) | Cybersecurity & Governance (3.9%)', 0.795)",Hyperconverged Infrastructure,0.3673,Hyperconverged Infrastructure (36.7%) | Data Platform & Storage (27.3%) | Container & Orchestration (16.0%),1.6317
Upgrade of load balancers - Dell EMC,Cloud & Infrastructure,0.794,"('Cloud & Infrastructure (79.4%) | Integration & Middleware (9.3%) | Managed Services & Support (4.6%)', 0.794)",Hyperconverged Infrastructure,0.3238,Hyperconverged Infrastructure (32.4%) | Data Platform & Storage (30.3%) | CDN & Edge Services (17.7%),1.5641
Capacity planning and performance tuning engagement - Non-production / DR site,Cloud & Infrastructure,0.7876,"('Cloud & Infrastructure (78.8%) | Managed Services & Support (7.6%) | Professional Services (4.5%)', 0.7876)",Data Platform & Storage,0.4335,Data Platform & Storage (43.4%) | Hyperconverged Infrastructure (27.7%) | Container & Orchestration (10.6%),1.7735
Real estate lease for secondary data center site - OpEx recurring,Cloud & Infrastructure,0.7836,"('Cloud & Infrastructure (78.4%) | Managed Services & Support (7.6%) | Professional Services (4.4%)', 0.7836)",Hyperconverged Infrastructure,0.5207,Hyperconverged Infrastructure (52.1%) | Data Platform & Storage (21.4%) | CDN & Edge Services (11.2%),1.7237
Annual commitment for disaster recovery site - AWS,Cloud & Infrastructure,0.7808,"('Cloud & Infrastructure (78.1%) | Cybersecurity & Governance (10.4%) | Managed Services & Support (3.2%)', 0.7808)",Data Platform & Storage,0.3483,Data Platform & Storage (34.8%) | Hyperconverged Infrastructure (25.9%) | Public Cloud Consumption (17.0%),1.7013
Object storage and backup retention for critical systems - Non-production / DR site,Cloud & Infrastructure,0.7727,"('Cloud & Infrastructure (77.3%) | Cybersecurity & Governance (9.3%) | Managed Services & Support (4.5%)', 0.7727)",Data Platform & Storage,0.5581,Data Platform & Storage (55.8%) | Hyperconverged Infrastructure (19.7%) | CDN & Edge Services (9.2%),1.4664
Annual audit of identity management - Palo Alto Networks,Cybersecurity & Governance,0.7696,"('Cybersecurity & Governance (77.0%) | Integration & Middleware (8.6%) | Cloud & Infrastructure (6.3%)', 0.7696)",Identity & Access Management,0.7755,Identity & Access Management (77.5%) | Cloud Security (6.6%) | Endpoint Protection (6.2%),1.6469
Serverless function execution and API gateway usage - Project code: ENT-IT-INV,Cloud & Infrastructure,0.7628,"('Cloud & Infrastructure (76.3%) | Integration & Middleware (13.9%) | Cybersecurity & Governance (5.0%)', 0.7628)",Container & Orchestration,0.3932,Container & Orchestration (39.3%) | Hyperconverged Infrastructure (19.6%) | Data Platform & Storage (16.5%),1.7761
Lease payment for server room power - Schneider Electric,Cloud & Infrastructure,0.7617,"('Cloud & Infrastructure (76.2%) | Managed Services & Support (7.7%) | Professional Services (4.8%)', 0.7617)",Hyperconverged Infrastructure,0.3077,Hyperconverged Infrastructure (30.8%) | Data Platform & Storage (24.8%) | Container & Orchestration (17.8%),1.8399
Storage arrays and SAN equipment for capacity growth - Annual contract,Cloud & Infrastructure,0.7526,"('Cloud & Infrastructure (75.3%) | Cybersecurity & Governance (6.1%) | Managed Services & Support (6.0%)', 0.7526)",Data Platform & Storage,0.6608,Data Platform & Storage (66.1%) | Hyperconverged Infrastructure (15.3%) | CDN & Edge Services (6.8%),1.7254
Managed database service fees for high-availability setup - Annual contract,Managed Services & Support,0.7484,"('Managed Services & Support (74.8%) | Professional Services (11.5%) | Cloud & Infrastructure (6.2%)', 0.7484)",Maintenance & Support Fees,0.3225,Maintenance & Support Fees (32.2%) | Application Managed Services (26.4%) | L2/L3 Technical Support (26.0%),1.7224
Patch management and vulnerability remediation services - CapEx allocation,Cybersecurity & Governance,0.7405,"('Cybersecurity & Governance (74.1%) | Managed Services & Support (9.3%) | Professional Services (5.2%)', 0.7405)",Vulnerability Management,0.671,Vulnerability Management (67.1%) | Cloud Security (11.0%) | Code Quality & Security (9.2%),1.6226
Hardware refresh for network switches - Cisco,Cloud & Infrastructure,0.7261,"('Cloud & Infrastructure (72.6%) | Integration & Middleware (7.8%) | Managed Services & Support (6.5%)', 0.7261)",Hyperconverged Infrastructure,0.4683,Hyperconverged Infrastructure (46.8%) | Data Platform & Storage (29.7%) | CDN & Edge Services (11.5%),1.6943
Hardware refresh for network switches - Juniper Networks,Cloud & Infrastructure,0.7233,"('Cloud & Infrastructure (72.3%) | Cybersecurity & Governance (12.1%) | Integration & Middleware (7.8%)', 0.7233)",Hyperconverged Infrastructure,0.3579,Hyperconverged Infrastructure (35.8%) | Data Platform & Storage (32.1%) | CDN & Edge Services (16.4%),1.7213
Annual licensing for ERP systems - VMware,Software Licensing,0.7222,"('Software Licensing (72.2%) | Cloud & Infrastructure (8.1%) | Professional Services (6.9%)', 0.7222)",Development & DevOps Tools,0.2596,Development & DevOps Tools (26.0%) | Enterprise Resource Planning (25.6%) | IT Service Management (21.5%),1.723
ISO 27001 / SOC2 certification readiness activities - CapEx allocation,Cybersecurity & Governance,0.7084,"('Cybersecurity & Governance (70.8%) | Cloud & Infrastructure (9.9%) | Integration & Middleware (6.3%)', 0.7084)",Cloud Security,0.301,Cloud Security (30.1%) | Code Quality & Security (25.9%) | Vulnerability Management (16.8%),1.8162
Object storage and backup retention for critical systems - OpEx recurring,Cloud & Infrastructure,0.7065,"('Cloud & Infrastructure (70.7%) | Software Licensing (8.1%) | Managed Services & Support (7.9%)', 0.7065)",Data Platform & Storage,0.5936,Data Platform & Storage (59.4%) | Hyperconverged Infrastructure (19.8%) | Container & Orchestration (7.8%),1.7273
Procurement of storage arrays - Lenovo,Cloud & Infrastructure,0.7039,"('Cloud & Infrastructure (70.4%) | Cybersecurity & Governance (7.0%) | Integration & Middleware (6.1%)', 0.7039)",Data Platform & Storage,0.732,Data Platform & Storage (73.2%) | Hyperconverged Infrastructure (11.8%) | Container & Orchestration (5.4%),1.7425
Object storage and backup retention for critical systems,Cloud & Infrastructure,0.6896,"('Cloud & Infrastructure (69.0%) | Cybersecurity & Governance (8.4%) | Managed Services & Support (7.7%)', 0.6896)",Data Platform & Storage,0.5609,Data Platform & Storage (56.1%) | Hyperconverged Infrastructure (21.2%) | Container & Orchestration (8.7%),1.6463
Colocation fees for S3 object storage - Microsoft Azure,Cloud & Infrastructure,0.6796,"('Cloud & Infrastructure (68.0%) | Cybersecurity & Governance (8.3%) | Integration & Middleware (7.6%)', 0.6796)",Data Platform & Storage,0.6693,Data Platform & Storage (66.9%) | Hyperconverged Infrastructure (13.2%) | Public Cloud Consumption (7.2%),1.7318
Patch management and vulnerability remediation services - OpEx recurring,Cybersecurity & Governance,0.6594,"('Cybersecurity & Governance (65.9%) | Managed Services & Support (13.6%) | Professional Services (7.5%)', 0.6594)",Vulnerability Management,0.68,Vulnerability Management (68.0%) | Cloud Security (11.5%) | Endpoint Protection (8.3%),1.6437
Consulting services for cloud migration strategy and roadmap - Production environment,Cloud & Infrastructure,0.6479,"('Cloud & Infrastructure (64.8%) | Managed Services & Support (14.0%) | Professional Services (10.6%)', 0.6479)",Hyperconverged Infrastructure,0.3149,Hyperconverged Infrastructure (31.5%) | Data Platform & Storage (29.3%) | Container & Orchestration (18.0%),1.8358
Consulting services for cloud migration strategy and roadmap - OpEx recurring,Cloud & Infrastructure,0.639,"('Cloud & Infrastructure (63.9%) | Managed Services & Support (15.7%) | Professional Services (10.4%)', 0.639)",Hyperconverged Infrastructure,0.3293,Hyperconverged Infrastructure (32.9%) | Data Platform & Storage (28.6%) | Container & Orchestration (18.1%),1.8003
Deployment of zero-trust architecture - Zscaler,Cloud & Infrastructure,0.6341,"('Cloud & Infrastructure (63.4%) | Cybersecurity & Governance (21.6%) | Integration & Middleware (9.2%)', 0.6341)",Hyperconverged Infrastructure,0.359,Hyperconverged Infrastructure (35.9%) | Data Platform & Storage (27.3%) | Container & Orchestration (17.1%),1.4138
Procurement of storage arrays - HPE,Cloud & Infrastructure,0.6258,"('Cloud & Infrastructure (62.6%) | Cybersecurity & Governance (8.5%) | Managed Services & Support (7.2%)', 0.6258)",Data Platform & Storage,0.667,Data Platform & Storage (66.7%) | Hyperconverged Infrastructure (15.3%) | Container & Orchestration (7.4%),1.3801
Architecture and design consulting engagement - Multi-region deployment,Cloud & Infrastructure,0.6198,"('Cloud & Infrastructure (62.0%) | Professional Services (12.7%) | Managed Services & Support (11.1%)', 0.6198)",Hyperconverged Infrastructure,0.3116,Hyperconverged Infrastructure (31.2%) | Data Platform & Storage (27.0%) | Container & Orchestration (16.8%),1.8297
Data egress fees for S3 object storage - Microsoft Azure,Cloud & Infrastructure,0.6172,"('Cloud & Infrastructure (61.7%) | Integration & Middleware (18.2%) | Cybersecurity & Governance (7.7%)', 0.6172)",Data Platform & Storage,0.6901,Data Platform & Storage (69.0%) | Hyperconverged Infrastructure (10.1%) | CDN & Edge Services (8.1%),1.7556
Internal audit support for IT general controls testing - Non-production / DR site,Cloud & Infrastructure,0.6157,"('Cloud & Infrastructure (61.6%) | Cybersecurity & Governance (21.1%) | Others (5.5%)', 0.6157)",Hyperconverged Infrastructure,0.3241,Hyperconverged Infrastructure (32.4%) | Data Platform & Storage (20.8%) | CDN & Edge Services (18.1%),1.7788
Specialized resources for cybersecurity operations center - Multi-region deployment,Cloud & Infrastructure,0.6074,"('Cloud & Infrastructure (60.7%) | Cybersecurity & Governance (21.1%) | Managed Services & Support (6.5%)', 0.6074)",Hyperconverged Infrastructure,0.2924,Hyperconverged Infrastructure (29.2%) | Data Platform & Storage (26.7%) | CDN & Edge Services (18.5%),1.7226
Training and certification programs for IT staff - Non-production / DR site,Cloud & Infrastructure,0.6019,"('Cloud & Infrastructure (60.2%) | Cybersecurity & Governance (15.3%) | Professional Services (8.0%)', 0.6019)",Hyperconverged Infrastructure,0.2726,Hyperconverged Infrastructure (27.3%) | Public Cloud Consumption (23.2%) | Data Platform & Storage (21.1%),1.7233
Procurement of load balancers - Cisco,Cloud & Infrastructure,0.6014,"('Cloud & Infrastructure (60.1%) | Integration & Middleware (10.4%) | Cybersecurity & Governance (8.9%)', 0.6014)",Data Platform & Storage,0.3137,Data Platform & Storage (31.4%) | Hyperconverged Infrastructure (24.4%) | CDN & Edge Services (18.1%),1.6962
Database management system license and support - Non-production / DR site,Cloud & Infrastructure,0.5979,"('Cloud & Infrastructure (59.8%) | Software Licensing (10.3%) | Cybersecurity & Governance (9.3%)', 0.5979)",Data Platform & Storage,0.6262,Data Platform & Storage (62.6%) | Hyperconverged Infrastructure (14.7%) | Public Cloud Consumption (8.8%),1.7188
Governance review of compliance readiness - Accenture,Cybersecurity & Governance,0.5915,"('Cybersecurity & Governance (59.2%) | Professional Services (17.7%) | Managed Services & Support (7.3%)', 0.5915)",Code Quality & Security,0.3091,Code Quality & Security (30.9%) | Cloud Security (30.6%) | Identity & Access Management (13.2%),1.7001
Annual audit of next-gen firewalls - Splunk,Cybersecurity & Governance,0.5717,"('Cybersecurity & Governance (57.2%) | Integration & Middleware (26.9%) | Cloud & Infrastructure (5.7%)', 0.5717)",Cloud Security,0.3417,Cloud Security (34.2%) | Code Quality & Security (20.2%) | Vulnerability Management (19.7%),1.7961
UPS systems maintenance and battery replacement - Non-production / DR site,Managed Services & Support,0.5706,"('Managed Services & Support (57.1%) | Professional Services (13.6%) | Cloud & Infrastructure (9.9%)', 0.5706)",Maintenance & Support Fees,0.5675,Maintenance & Support Fees (56.8%) | Operational Support (17.8%) | L2/L3 Technical Support (13.5%),1.6557
Identity and access management solution subscription - CapEx allocation,Cybersecurity & Governance,0.5694,"('Cybersecurity & Governance (56.9%) | Integration & Middleware (12.4%) | Cloud & Infrastructure (8.7%)', 0.5694)",Identity & Access Management,0.9235,Identity & Access Management (92.3%) | Cloud Security (3.1%) | Endpoint Protection (2.1%),1.4347
Identity and access management solution subscription - Multi-region deployment,Cybersecurity & Governance,0.5558,"('Cybersecurity & Governance (55.6%) | Cloud & Infrastructure (16.2%) | Integration & Middleware (10.5%)', 0.5558)",Identity & Access Management,0.9272,Identity & Access Management (92.7%) | Cloud Security (3.4%) | Endpoint Protection (1.7%),1.6509
Subscription for zero-trust architecture - Okta,Software Licensing,0.5551,"('Software Licensing (55.5%) | Cybersecurity & Governance (17.6%) | Cloud & Infrastructure (9.5%)', 0.5551)",Development & DevOps Tools,0.5159,Development & DevOps Tools (51.6%) | IT Service Management (17.0%) | Enterprise Resource Planning (11.1%),1.7223
Policy development and compliance framework consulting,Cybersecurity & Governance,0.55,"('Cybersecurity & Governance (55.0%) | Professional Services (15.2%) | Integration & Middleware (10.2%)', 0.55)",Identity & Access Management,0.2584,Identity & Access Management (25.8%) | Code Quality & Security (25.8%) | Cloud Security (25.1%),1.646
Deployment of zero-trust architecture - Okta,Cloud & Infrastructure,0.5231,"('Cloud & Infrastructure (52.3%) | Cybersecurity & Governance (26.2%) | Integration & Middleware (11.5%)', 0.5231)",Data Platform & Storage,0.2868,Data Platform & Storage (28.7%) | Hyperconverged Infrastructure (23.7%) | CDN & Edge Services (21.8%),1.7977
Incident management and problem resolution support - OpEx recurring,Managed Services & Support,0.5127,"('Managed Services & Support (51.3%) | Cybersecurity & Governance (11.9%) | Professional Services (11.2%)', 0.5127)",Operational Support,0.3749,Operational Support (37.5%) | L2/L3 Technical Support (35.3%) | Maintenance & Support Fees (15.7%),1.7814
Policy development and compliance framework consulting - Project code: ENT-IT-INV,Cybersecurity & Governance,0.5107,"('Cybersecurity & Governance (51.1%) | Integration & Middleware (19.2%) | Professional Services (8.9%)', 0.5107)",Code Quality & Security,0.2554,Code Quality & Security (25.5%) | Cloud Security (22.1%) | Endpoint Protection (19.6%),1.7076
Consulting for compliance readiness - Deloitte,Professional Services,0.4908,"('Professional Services (49.1%) | Cybersecurity & Governance (19.2%) | Managed Services & Support (11.7%)', 0.4908)",Strategic Consulting,0.4907,Strategic Consulting (49.1%) | Implementation Services (26.3%) | Project-Based Delivery (16.2%),1.3688
Annual audit of SIEM platform - CrowdStrike,Cybersecurity & Governance,0.4903,"('Cybersecurity & Governance (49.0%) | Integration & Middleware (16.1%) | Cloud & Infrastructure (14.5%)', 0.4903)",Cloud Security,0.4323,Cloud Security (43.2%) | Code Quality & Security (17.1%) | Endpoint Protection (15.8%),1.7117
Strategic design of architecture redesign - Deloitte,Professional Services,0.4795,"('Professional Services (47.9%) | Cloud & Infrastructure (16.5%) | Managed Services & Support (14.8%)', 0.4795)",Strategic Consulting,0.5209,Strategic Consulting (52.1%) | Implementation Services (18.8%) | Project-Based Delivery (15.6%),1.6725
Governance review of Agile transformation - Capgemini,Cybersecurity & Governance,0.4719,"('Cybersecurity & Governance (47.2%) | Cloud & Infrastructure (20.9%) | Managed Services & Support (9.7%)', 0.4719)",Cloud Security,0.3235,Cloud Security (32.4%) | Code Quality & Security (31.8%) | Identity & Access Management (14.0%),1.6308
HVAC system servicing and environmental controls - Annual contract,Managed Services & Support,0.467,"('Managed Services & Support (46.7%) | Professional Services (20.2%) | Cloud & Infrastructure (12.0%)', 0.467)",Maintenance & Support Fees,0.3511,Maintenance & Support Fees (35.1%) | Operational Support (34.4%) | L2/L3 Technical Support (23.3%),1.681
Annual audit of SIEM platform - Okta,Cybersecurity & Governance,0.4639,"('Cybersecurity & Governance (46.4%) | Cloud & Infrastructure (18.4%) | Integration & Middleware (14.8%)', 0.4639)",Cloud Security,0.462,Cloud Security (46.2%) | Endpoint Protection (15.3%) | Code Quality & Security (13.5%),1.6411
Backup and disaster recovery testing and validation - Production environment,Cloud & Infrastructure,0.4616,"('Cloud & Infrastructure (46.2%) | Cybersecurity & Governance (18.0%) | Managed Services & Support (13.8%)', 0.4616)",Data Platform & Storage,0.2979,Data Platform & Storage (29.8%) | Hyperconverged Infrastructure (28.5%) | Container & Orchestration (16.6%),1.7149
Support plan for ERP systems - Microsoft,Managed Services & Support,0.4586,"('Managed Services & Support (45.9%) | Professional Services (27.3%) | Cloud & Infrastructure (7.0%)', 0.4586)",L2/L3 Technical Support,0.3281,L2/L3 Technical Support (32.8%) | Operational Support (30.7%) | Application Managed Services (20.4%),1.6263
Procurement of core routers - HPE,Cloud & Infrastructure,0.4582,"('Cloud & Infrastructure (45.8%) | Integration & Middleware (13.7%) | Cybersecurity & Governance (11.3%)', 0.4582)",Hyperconverged Infrastructure,0.3476,Hyperconverged Infrastructure (34.8%) | Data Platform & Storage (27.5%) | CDN & Edge Services (16.9%),1.8034
Subscription for zero-trust architecture - Palo Alto Networks,Software Licensing,0.4545,"('Software Licensing (45.5%) | Cybersecurity & Governance (42.6%) | Integration & Middleware (3.9%)', 0.4545)",Development & DevOps Tools,0.5188,Development & DevOps Tools (51.9%) | IT Service Management (17.2%) | Enterprise Resource Planning (9.1%),1.7798
Network security appliances and firewall licenses - Production environment,Cloud & Infrastructure,0.4534,"('Cloud & Infrastructure (45.3%) | Software Licensing (15.8%) | Cybersecurity & Governance (13.5%)', 0.4534)",Hyperconverged Infrastructure,0.3114,Hyperconverged Infrastructure (31.1%) | Data Platform & Storage (25.0%) | CDN & Edge Services (18.2%),1.7047
Data transfer and egress charges across regions,Cybersecurity & Governance,0.4457,"('Cybersecurity & Governance (44.6%) | Integration & Middleware (25.2%) | Cloud & Infrastructure (14.5%)', 0.4457)",Cloud Security,0.4604,Cloud Security (46.0%) | Code Quality & Security (16.8%) | Endpoint Protection (15.1%),1.6315
Security operations center (SOC) managed services,Managed Services & Support,0.4434,"('Managed Services & Support (44.3%) | Cybersecurity & Governance (16.4%) | Cloud & Infrastructure (14.8%)', 0.4434)",L2/L3 Technical Support,0.3418,L2/L3 Technical Support (34.2%) | Application Managed Services (29.8%) | Operational Support (25.3%),1.6681
Specialized resources for cybersecurity operations center - Non-production / DR site,Cloud & Infrastructure,0.4327,"('Cloud & Infrastructure (43.3%) | Cybersecurity & Governance (39.7%) | Managed Services & Support (6.3%)', 0.4327)",Hyperconverged Infrastructure,0.2888,Hyperconverged Infrastructure (28.9%) | Data Platform & Storage (26.8%) | CDN & Edge Services (18.4%),1.741
Database management system license and support - CapEx allocation,Cloud & Infrastructure,0.4324,"('Cloud & Infrastructure (43.2%) | Software Licensing (15.8%) | Integration & Middleware (13.7%)', 0.4324)",Data Platform & Storage,0.6516,Data Platform & Storage (65.2%) | Hyperconverged Infrastructure (14.9%) | Container & Orchestration (7.1%),1.7204
Training and certification programs for IT staff - Multi-region deployment,Cloud & Infrastructure,0.4284,"('Cloud & Infrastructure (42.8%) | Professional Services (15.4%) | Cybersecurity & Governance (12.0%)', 0.4284)",Hyperconverged Infrastructure,0.299,Hyperconverged Infrastructure (29.9%) | Data Platform & Storage (23.0%) | CDN & Edge Services (17.5%),1.7517
Subscription for SIEM platform - Palo Alto Networks,Software Licensing,0.4282,"('Software Licensing (42.8%) | Cybersecurity & Governance (37.6%) | Integration & Middleware (11.5%)', 0.4282)",IT Service Management,0.2722,IT Service Management (27.2%) | Development & DevOps Tools (23.8%) | Enterprise Resource Planning (16.7%),1.7602
Deployment of endpoint detection (EDR) - Fortinet,Cybersecurity & Governance,0.4221,"('Cybersecurity & Governance (42.2%) | Cloud & Infrastructure (26.2%) | Integration & Middleware (22.2%)', 0.4221)",Endpoint Protection,0.645,Endpoint Protection (64.5%) | Cloud Security (12.7%) | Vulnerability Management (9.4%),1.7606
Managed infrastructure monitoring and alerting services - Project code: ENT-IT-INV,Cloud & Infrastructure,0.4082,"('Cloud & Infrastructure (40.8%) | Managed Services & Support (37.9%) | Cybersecurity & Governance (8.0%)', 0.4082)",Hyperconverged Infrastructure,0.3578,Hyperconverged Infrastructure (35.8%) | Data Platform & Storage (22.1%) | Container & Orchestration (17.8%),1.8364
