narration,main_category,main_top3,sub_category,sub_top3,time_taken_sec
Zoom Business - Annual Subscription - 1000 Hosts - Enterprise - FY25 Renewal,Software Licensing,Software Licensing (51.9%) | Others (44.2%) | Managed Services & Support (2.0%),Enterprise Resource Planning,Enterprise Resource Planning (34.8%) | Development & DevOps Tools (21.3%) | Human Capital Management (17.8%),1.4928
Zoom Webinar Add-on - 1000 Attendees - Annual License - Marketing Events,Software Licensing,Software Licensing (85.8%) | Others (13.4%) | Integration & Middleware (0.5%),Development & DevOps Tools,Development & DevOps Tools (55.8%) | Enterprise Resource Planning (14.4%) | Customer Relationship Management (14.1%),1.5308
Slack Enterprise Grid - Annual Subscription - 8500 Active Users - Global - FY25,Software Licensing,Software Licensing (57.1%) | Others (38.8%) | Managed Services & Support (1.9%),Development & DevOps Tools,Development & DevOps Tools (37.8%) | Enterprise Resource Planning (22.1%) | Business Intelligence & Analytics (12.4%),1.624
Google Workspace Enterprise Standard - 500 Users - Marketing Agency Subsidiary - Annual,Others,Others (81.9%) | Managed Services & Support (8.8%) | Integration & Middleware (6.4%),Cost of IT Infrastructure,"N/A (dynamically generated, not a closed-set probability)",2.1261
Dropbox Business Advanced - Annual Subscription - 300 Users - Design Team,Software Licensing,Software Licensing (62.8%) | Others (30.9%) | Integration & Middleware (2.5%),Development & DevOps Tools,Development & DevOps Tools (43.4%) | Customer Relationship Management (16.2%) | Business Intelligence & Analytics (11.8%),1.4831
Adobe Creative Cloud All Apps - Enterprise License - 250 Seats - Creative Ops - FY25,Software Licensing,Software Licensing (85.5%) | Others (13.5%) | Integration & Middleware (0.5%),Enterprise Resource Planning,Enterprise Resource Planning (82.7%) | Development & DevOps Tools (9.2%) | Human Capital Management (3.1%),1.5586
DocuSign eSignature Business Pro - Envelope Usage Overage - Q4 2024 - Legal & Sales,Others,Others (90.1%) | Managed Services & Support (5.9%) | Integration & Middleware (3.8%),Legal and sales costs,"N/A (dynamically generated, not a closed-set probability)",2.2452
ServiceNow ITSM Professional - Annual Subscription - 1200 Fulfiller Users - Global IT,Software Licensing,Software Licensing (74.4%) | Others (20.7%) | Integration & Middleware (1.9%),IT Service Management,IT Service Management (36.5%) | Development & DevOps Tools (26.4%) | Collaboration & Productivity (26.1%),1.6416
ServiceNow ITOM - Discovery & Event Management - Subscription - FY25,Others,Others (53.1%) | Software Licensing (35.5%) | Managed Services & Support (4.6%),Costs related to service,"N/A (dynamically generated, not a closed-set probability)",2.1931
ServiceNow SecOps - Security Incident Response Module - Annual License Add-on,Software Licensing,Software Licensing (80.6%) | Others (17.7%) | Integration & Middleware (0.7%),Development & DevOps Tools,Development & DevOps Tools (33.3%) | IT Service Management (22.1%) | Collaboration & Productivity (17.2%),1.459
Atlassian Jira Software Cloud Premium - Annual Subscription - 1200 Users - Engineering,Software Licensing,Software Licensing (64.3%) | Others (32.4%) | Integration & Middleware (1.7%),Enterprise Resource Planning,Enterprise Resource Planning (49.7%) | Development & DevOps Tools (22.1%) | Human Capital Management (11.6%),1.4921
Atlassian Confluence Cloud Premium - Annual Subscription - 2000 Users - Global,Others,Others (51.9%) | Software Licensing (42.8%) | Managed Services & Support (2.2%),Cost category:,"N/A (dynamically generated, not a closed-set probability)",2.1192
Atlassian Jira Service Management Cloud - 150 Agents - Annual - IT Support,Others,Others (81.0%) | Managed Services & Support (14.7%) | Professional Services (2.0%),Infrastructure,"N/A (dynamically generated, not a closed-set probability)",2.106
PagerDuty Enterprise - Incident Management Platform - Annual Subscription - 200 Users,Software Licensing,Software Licensing (76.9%) | Others (20.8%) | Integration & Middleware (0.9%),Development & DevOps Tools,Development & DevOps Tools (29.8%) | Collaboration & Productivity (27.1%) | IT Service Management (17.2%),1.4514
New Relic - Full Stack Observability - Data Ingest - Pro Edition - Monthly Overage - Nov 2024,Others,Others (75.2%) | Managed Services & Support (11.0%) | Integration & Middleware (7.4%),Costs related to:,"N/A (dynamically generated, not a closed-set probability)",2.3043
Datadog Pro - Infrastructure & APM - Host Usage - Prod Environment - Monthly - Dec 2024,Others,Others (82.5%) | Managed Services & Support (11.1%) | Integration & Middleware (6.2%),Infrastructure & APM,"N/A (dynamically generated, not a closed-set probability)",2.2312
Splunk Cloud Platform - Workload Pricing - 300GB Daily Ingest - Annual Commitment,Others,Others (79.1%) | Integration & Middleware (8.6%) | Managed Services & Support (7.9%),Cost of Infrastructure,"N/A (dynamically generated, not a closed-set probability)",2.139
Okta Workforce Identity - SSO & MFA - Enterprise Edition - 9000 Users - Annual - FY25 Renewal,Software Licensing,Software Licensing (46.4%) | Others (45.9%) | Integration & Middleware (3.5%),Human Capital Management,Human Capital Management (85.1%) | Business Intelligence & Analytics (4.1%) | Development & DevOps Tools (3.4%),1.6984
Okta Customer Identity (Auth0) - MAU Overage - 500K MAU - Q4 2024 - E-Commerce Platform,Others,Others (72.8%) | Software Licensing (11.3%) | Managed Services & Support (8.1%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.3914
CrowdStrike Falcon Complete - Endpoint Protection - 9500 Endpoints - Annual - Global,Others,Others (63.6%) | Software Licensing (11.9%) | Integration & Middleware (10.3%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.166
Palo Alto Prisma Access - SASE Solution - 8000 Users - Annual Subscription - FY25,Software Licensing,Software Licensing (60.7%) | Others (32.9%) | Integration & Middleware (2.8%),Development & DevOps Tools,Development & DevOps Tools (28.0%) | Customer Relationship Management (23.6%) | Business Intelligence & Analytics (17.3%),1.5219
Zscaler Internet Access (ZIA) Professional - Annual Subscription - 9000 Users - Renewal,Software Licensing,Software Licensing (90.0%) | Others (8.4%) | Professional Services (0.7%),Development & DevOps Tools,Development & DevOps Tools (31.3%) | Customer Relationship Management (23.4%) | Business Intelligence & Analytics (15.7%),1.6085
CyberArk Privileged Access Manager - Annual Maintenance & Support - FY25,Others,Others (82.6%) | Managed Services & Support (11.7%) | Professional Services (3.8%),Hardware and Software,"N/A (dynamically generated, not a closed-set probability)",2.0799
SailPoint IdentityIQ - Identity Governance - Annual Subscription - 9000 Identities,Software Licensing,Software Licensing (87.4%) | Others (10.1%) | Integration & Middleware (1.3%),Human Capital Management,Human Capital Management (39.2%) | Development & DevOps Tools (21.7%) | Customer Relationship Management (15.9%),1.6542
Microsoft Entra ID P2 - Add-on to M365 E3 - 9200 Users - Annual - Identity Protection,Software Licensing,Software Licensing (60.5%) | Others (30.0%) | Integration & Middleware (4.7%),Human Capital Management,Human Capital Management (35.1%) | Development & DevOps Tools (24.1%) | Customer Relationship Management (15.9%),1.8623
Varonis Data Security Platform - Annual License - Data Classification & DLP - Global,Software Licensing,Software Licensing (98.1%) | Others (1.6%) | Integration & Middleware (0.1%),Development & DevOps Tools,Development & DevOps Tools (37.1%) | Customer Relationship Management (19.6%) | Human Capital Management (16.9%),1.5105
Proofpoint Email Protection - Advanced Threat Protection - 9200 Users - Annual - FY25,Others,Others (73.5%) | Software Licensing (19.4%) | Managed Services & Support (3.7%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.1339
KnowBe4 Security Awareness Training - Diamond Tier - 9000 Users - Annual Subscription,Software Licensing,Software Licensing (75.8%) | Others (21.9%) | Integration & Middleware (1.0%),Human Capital Management,Human Capital Management (29.4%) | Development & DevOps Tools (25.0%) | Business Intelligence & Analytics (14.9%),1.4813
Qualys Vulnerability Management - Enterprise Edition - 5000 IPs - Annual - FY25,Others,Others (66.0%) | Software Licensing (26.0%) | Managed Services & Support (3.1%),Software and Hardware,"N/A (dynamically generated, not a closed-set probability)",2.2053
Tenable.io Vulnerability Management - Annual License - 4000 Assets - Global IT,Software Licensing,Software Licensing (97.3%) | Others (2.4%) | Integration & Middleware (0.1%),Enterprise Resource Planning,Enterprise Resource Planning (81.3%) | Human Capital Management (4.5%) | Development & DevOps Tools (3.6%),1.5353
OneTrust Privacy Management - Cookie Consent & Data Mapping - Annual - Compliance,Others,Others (78.8%) | Managed Services & Support (12.5%) | Integration & Middleware (7.4%),Cost of compliance,"N/A (dynamically generated, not a closed-set probability)",2.1312
Snowflake Enterprise Edition - Credit Consumption - On-Demand - Warehouse: ANALYTICS_WH - Dec 2024,Others,Others (82.1%) | Managed Services & Support (10.1%) | Integration & Middleware (7.3%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.3144
Snowflake - Snowpipe & Storage Usage - Monthly - Nov 2024 - Data Platform Team,Others,Others (85.2%) | Managed Services & Support (8.0%) | Integration & Middleware (6.6%),Cost of Infrastructure,"N/A (dynamically generated, not a closed-set probability)",2.159
Databricks Lakehouse Platform - DBU Consumption - Premium Tier - Workspace: prod-analytics - Dec 24,Others,Others (72.9%) | Managed Services & Support (13.0%) | Integration & Middleware (12.4%),Cost of Data Warehouse (Cost,"N/A (dynamically generated, not a closed-set probability)",2.2049
Informatica Intelligent Data Management Cloud (IDMC) - Annual Subscription - Data Integration,Others,Others (49.9%) | Integration & Middleware (17.9%) | Managed Services & Support (16.0%),Cost of IT Services,"N/A (dynamically generated, not a closed-set probability)",2.1403
Tableau Cloud - Creator & Explorer Licenses - Annual Subscription - 300 Users - BI Team - FY25,Others,Others (60.0%) | Software Licensing (37.4%) | Managed Services & Support (1.3%),Tableau Cloud - Cost,"N/A (dynamically generated, not a closed-set probability)",2.2689
Microsoft Power BI Pro - Per User License - 1200 Users - Annual - FY25,Software Licensing,Software Licensing (59.2%) | Others (38.1%) | Integration & Middleware (1.4%),Development & DevOps Tools,Development & DevOps Tools (44.4%) | Business Intelligence & Analytics (41.0%) | IT Service Management (4.6%),1.5208
Microsoft Power BI Premium Per Capacity - P2 - Monthly - Analytics COE,Others,Others (82.1%) | Managed Services & Support (8.9%) | Integration & Middleware (6.2%),Microsoft Power BI Premium Per Capacity,"N/A (dynamically generated, not a closed-set probability)",2.0596
MuleSoft Anypoint Platform - Gold Tier - Annual Subscription - Integration - 10M Transactions,Others,Others (40.8%) | Software Licensing (39.9%) | Integration & Middleware (11.8%),Integration,"N/A (dynamically generated, not a closed-set probability)",2.2026
Dell Boomi Integration - Professional Plus - Connection Overage - FY25,Others,Others (62.2%) | Managed Services & Support (19.6%) | Integration & Middleware (15.2%),Cost of integration,"N/A (dynamically generated, not a closed-set probability)",2.1974
Confluent Cloud - Dedicated Cluster - Kafka - Usage Charges - Dec 2024 - Event Streaming,Others,Others (85.2%) | Managed Services & Support (8.9%) | Integration & Middleware (5.7%),Cost of Infrastructure,"N/A (dynamically generated, not a closed-set probability)",2.1323
Fivetran - Enterprise Tier - MAR Consumption - Dec 2024 - Data Ingestion Pipeline,Others,Others (40.3%) | Managed Services & Support (30.3%) | Integration & Middleware (28.8%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.1477
Alteryx Designer - Enterprise License - Annual Subscription - 50 Users - Data Science,Others,Others (49.2%) | Software Licensing (46.8%) | Integration & Middleware (2.2%),Software,"N/A (dynamically generated, not a closed-set probability)",2.077
GitHub Enterprise Cloud - Annual Subscription - 800 Users - Engineering - FY25 Renewal,Software Licensing,Software Licensing (72.0%) | Others (25.5%) | Managed Services & Support (1.0%),Development & DevOps Tools,Development & DevOps Tools (30.0%) | Human Capital Management (20.3%) | Business Intelligence & Analytics (14.7%),1.4954
GitLab Ultimate Self-Managed - Annual Subscription - 600 Users - DevSecOps Platform,Software Licensing,Software Licensing (60.0%) | Others (36.6%) | Managed Services & Support (1.1%),Development & DevOps Tools,Development & DevOps Tools (37.4%) | Business Intelligence & Analytics (16.9%) | Human Capital Management (14.6%),1.5421
JetBrains All Products Pack - Annual Subscription - 150 Users - Engineering Team,Software Licensing,Software Licensing (82.0%) | Others (16.4%) | Integration & Middleware (0.9%),Enterprise Resource Planning,Enterprise Resource Planning (80.1%) | Development & DevOps Tools (6.7%) | Human Capital Management (5.9%),1.4594
Docker Business - Annual Subscription - 500 Developers - Container Platform,Software Licensing,Software Licensing (71.2%) | Others (25.8%) | Integration & Middleware (1.7%),Human Capital Management,Human Capital Management (60.2%) | Development & DevOps Tools (15.2%) | Enterprise Resource Planning (7.5%),1.4242
SonarQube Enterprise Edition - Annual License - Code Quality & Security - 5M LOC,Software Licensing,Software Licensing (98.1%) | Others (1.8%) | Integration & Middleware (0.1%),Development & DevOps Tools,Development & DevOps Tools (30.2%) | Human Capital Management (28.5%) | Customer Relationship Management (15.7%),1.5296
Snyk - Developer Security Platform - Annual Subscription - 500 Developers - AppSec,Software Licensing,Software Licensing (95.7%) | Others (3.7%) | Professional Services (0.3%),Human Capital Management,Human Capital Management (48.0%) | Development & DevOps Tools (19.3%) | Enterprise Resource Planning (10.3%),1.4879
JFrog Artifactory Cloud Enterprise - Annual Subscription - Artifact Management - FY25,Software Licensing,Software Licensing (58.4%) | Others (37.3%) | Integration & Middleware (2.2%),Human Capital Management,Human Capital Management (33.8%) | Development & DevOps Tools (32.3%) | Business Intelligence & Analytics (13.8%),1.5559
HashiCorp Vault & Terraform Cloud - Enterprise License - Infrastructure Automation,Software Licensing,Software Licensing (85.8%) | Others (11.8%) | Integration & Middleware (1.1%),Development & DevOps Tools,Development & DevOps Tools (41.6%) | Collaboration & Productivity (19.6%) | Business Intelligence & Analytics (17.5%),1.5205
Kubernetes Support - Red Hat OpenShift Platform Plus - Annual Subscription - 100 Cores,Software Licensing,Software Licensing (69.7%) | Others (27.7%) | Managed Services & Support (1.2%),Development & DevOps Tools,Development & DevOps Tools (35.1%) | Enterprise Resource Planning (16.8%) | Business Intelligence & Analytics (15.6%),1.5384
Postman Enterprise - API Platform - Annual Subscription - 400 Users - Integration Team,Software Licensing,Software Licensing (70.5%) | Others (18.0%) | Integration & Middleware (6.8%),Development & DevOps Tools,Development & DevOps Tools (27.5%) | Enterprise Resource Planning (22.7%) | Human Capital Management (19.0%),1.4878
BlackLine Financial Close Management - Annual Subscription - Finance - FY25 Renewal,Others,Others (49.5%) | Software Licensing (48.5%) | Managed Services & Support (1.0%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.1704
BlackLine Accounts Reconciliation - Transaction Matching Add-on - Annual,Others,Others (78.0%) | Integration & Middleware (11.9%) | Managed Services & Support (10.0%),Cost of Goods Sold (CO,"N/A (dynamically generated, not a closed-set probability)",2.0428
Coupa Business Spend Management - P2P & Expenses - Annual Subscription - 2000 Users,Others,Others (78.8%) | Software Licensing (9.2%) | Managed Services & Support (8.5%),Monthly subscription costs,"N/A (dynamically generated, not a closed-set probability)",2.1531
Avalara AvaTax - Sales Tax Automation - Transaction Overage - Q4 2024 - E-Commerce US,Others,Others (87.7%) | Integration & Middleware (7.2%) | Managed Services & Support (5.0%),Sales Tax Automation,"N/A (dynamically generated, not a closed-set probability)",2.7539
Vertex O Series - Tax Determination Engine - Cloud Edition - Annual Subscription - Global Tax,Others,Others (87.8%) | Managed Services & Support (6.8%) | Integration & Middleware (5.0%),Cost of Goods Sold,"N/A (dynamically generated, not a closed-set probability)",2.7266
OneStream XF - Corporate Performance Management - Annual Subscription - FP&A - FY25,Others,Others (85.2%) | Managed Services & Support (8.8%) | Integration & Middleware (5.3%),Cost of Goods Sold (CO,"N/A (dynamically generated, not a closed-set probability)",2.8868
Workiva Wdesk - SEC Reporting & SOX Compliance - Annual Subscription - Finance & Legal,Software Licensing,Software Licensing (52.1%) | Others (42.3%) | Integration & Middleware (2.5%),Development & DevOps Tools,Development & DevOps Tools (25.6%) | Human Capital Management (20.1%) | Business Intelligence & Analytics (17.3%),2.1305
AuditBoard SOXHUB & RiskOversight - Annual Subscription - GRC Platform - FY25,Software Licensing,Software Licensing (80.0%) | Others (15.9%) | Professional Services (1.8%),Human Capital Management,Human Capital Management (25.7%) | Development & DevOps Tools (25.1%) | Customer Relationship Management (20.1%),2.1395
Thomson Reuters ONESOURCE - Corporate Tax & Transfer Pricing - Annual License - Global Tax,Software Licensing,Software Licensing (93.9%) | Others (5.6%) | Integration & Middleware (0.3%),Development & DevOps Tools,Development & DevOps Tools (43.0%) | Human Capital Management (18.3%) | Business Intelligence & Analytics (15.4%),1.9143
Kyriba Treasury Management - SaaS Subscription - Cash & Liquidity Module - Annual - Treasury,Others,Others (54.3%) | Software Licensing (43.0%) | Integration & Middleware (1.2%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.7636
HighRadius Integrated Receivables - Annual Subscription - O2C Automation - FY25,Others,Others (73.5%) | Managed Services & Support (15.0%) | Integration & Middleware (9.3%),Cost of Goods Sold (CO,"N/A (dynamically generated, not a closed-set probability)",2.6861
Blue Yonder Supply Planning - SaaS Subscription - Annual - Supply Chain Planning - FY25,Software Licensing,Software Licensing (54.1%) | Others (40.5%) | Integration & Middleware (2.9%),Enterprise Resource Planning,Enterprise Resource Planning (92.5%) | Human Capital Management (3.1%) | Development & DevOps Tools (1.9%),1.9536
Manhattan Associates WMS - Active - Annual Maintenance & Support - Distribution Centers,Others,Others (83.4%) | Managed Services & Support (15.4%) | Integration & Middleware (0.9%),Distribution Center Operations,"N/A (dynamically generated, not a closed-set probability)",2.6435
Kinaxis RapidResponse - Supply Chain Planning - Annual Subscription - Global Ops,Others,Others (80.8%) | Managed Services & Support (12.8%) | Integration & Middleware (6.0%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.5411
E2open Supply Chain Platform - Transportation Management - Annual - Logistics - FY25,Others,Others (92.5%) | Managed Services & Support (4.1%) | Integration & Middleware (3.3%),Transportation Management,"N/A (dynamically generated, not a closed-set probability)",2.5817
Oracle WMS Cloud - Annual Subscription - 3PL Warehouse - APAC Entity,Others,Others (79.1%) | Managed Services & Support (10.5%) | Integration & Middleware (5.8%),Cost of Operations,"N/A (dynamically generated, not a closed-set probability)",2.5472
Siemens Teamcenter PLM - Annual Maintenance - Engineering & Manufacturing,Others,Others (84.6%) | Managed Services & Support (11.2%) | Integration & Middleware (4.0%),Cost of engineering and manufacturing,"N/A (dynamically generated, not a closed-set probability)",2.5385
