Narration,main_category,main_top3,sub_category,sub_top3,time_taken_sec
SuccessFactors Learning Management System - Annual Subscription Renewal,Software Licensing,Software Licensing (68.0%) | Maintenance & Support (29.1%) | Operations (2.1%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | License Upgrade / Add-on (0.0%),1.5052
Workday - Phase 2 Implementation - Professional Services - Milestone 3 - SOW WD-2024-089,Operations,Operations (35.7%) | Others (29.7%) | Maintenance & Support (23.0%),IT Service Management,IT Service Management (98.5%) | Cost of Operations (Run & Manage) (1.4%) | Batch / Job Processing (0.1%),1.5624
ServiceNow HRSD - HR Service Delivery Pro - License Renewal - 5000 Fulfiller Licenses,Software Licensing,Software Licensing (92.0%) | Maintenance & Support (7.1%) | Operations (0.6%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | License Upgrade / Add-on (0.0%),1.6792
LinkedIn Talent Solutions - Recruiter Corporate Licenses - Annual - Global TA Team,Software Licensing,"Software Licensing (89.4%) | Maintenance & Support (8.0%) | Governance, Risk & Compliance (0.8%)",License Renewal,License Renewal (66.8%) | License Upgrade / Add-on (29.8%) | SaaS Subscription Seats (1.9%),1.8887
ADP Workforce Now - Time & Attendance Module - Monthly Subscription - US Payroll,Maintenance & Support,Maintenance & Support (70.0%) | Others (14.1%) | Operations (9.3%),Vendor Support Retainer,Vendor Support Retainer (58.4%) | Enterprise Support Plans (30.2%) | Patch / Version Update (8.2%),2.1118
Salesforce Sales Cloud Enterprise Edition - Annual Subscription - 650 Users - Renewal FY25,Software Licensing,Software Licensing (72.1%) | Maintenance & Support (26.1%) | Operations (1.3%),License Renewal,License Renewal (100.0%) | SaaS Subscription Seats (0.0%) | New License Purchase (0.0%),1.938
Salesforce Service Cloud - Digital Engagement Add-on - Annual License - Customer Support,Maintenance & Support,Maintenance & Support (49.6%) | Software Licensing (48.1%) | Operations (1.8%),Enterprise Support Plans,Enterprise Support Plans (64.3%) | Annual Maintenance Contract (AMC) (18.7%) | Patch / Version Update (10.8%),1.8533
Salesforce CPQ - Annual Subscription - Sales Operations - Global Entity,Maintenance & Support,Maintenance & Support (58.5%) | Software Licensing (27.0%) | Operations (9.5%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (44.6%) | Enterprise Support Plans (29.2%) | Vendor Support Retainer (15.4%),1.9391
Salesforce Platform - Shield Encryption & Event Monitoring - Annual Add-on,Maintenance & Support,Maintenance & Support (74.0%) | Software Licensing (9.7%) | Operations (8.7%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (42.0%) | Enterprise Support Plans (30.3%) | Patch / Version Update (21.9%),2.5093
HubSpot Marketing Hub Enterprise - Annual Subscription - 10000 Contacts - Marketing Ops,Software Licensing,Software Licensing (44.5%) | Maintenance & Support (43.1%) | Operations (8.8%),License Renewal,License Renewal (51.1%) | License Upgrade / Add-on (39.5%) | SaaS Subscription Seats (4.7%),2.4083
Microsoft Dynamics 365 Sales Enterprise - Annual Subscription - 400 Users,Software Licensing,Software Licensing (61.3%) | Maintenance & Support (35.0%) | Operations (2.1%),License Renewal,License Renewal (49.8%) | License Upgrade / Add-on (36.2%) | SaaS Subscription Seats (6.1%),2.3172
Zendesk Suite Enterprise - Annual Subscription - Customer Support - 150 Agents - Global,Maintenance & Support,Maintenance & Support (51.6%) | Software Licensing (41.6%) | Operations (5.2%),Enterprise Support Plans,Enterprise Support Plans (94.7%) | Patch / Version Update (2.6%) | Annual Maintenance Contract (AMC) (1.9%),1.3484
Gainsight CS - Customer Success Platform - Annual Subscription - FY25,Software Licensing,Software Licensing (77.3%) | Maintenance & Support (19.2%) | Operations (2.4%),License Renewal,License Renewal (81.2%) | License Upgrade / Add-on (10.3%) | SaaS Subscription Seats (3.7%),1.5773
Amazon Web Services (AWS) - EC2 & RDS & S3 Usage - Production Account 9821-Prod - Jan 2025 Invoice,Maintenance & Support,Maintenance & Support (55.7%) | Others (15.4%) | Operations (11.7%),Vendor Support Retainer,Vendor Support Retainer (59.7%) | Enterprise Support Plans (15.2%) | Annual Maintenance Contract (AMC) (14.3%),1.573
AWS - Data Transfer & CloudFront Charges - Global E-Commerce Workload - Dec 2024,Maintenance & Support,Maintenance & Support (62.6%) | Others (19.2%) | Operations (11.1%),Enterprise Support Plans,Enterprise Support Plans (49.2%) | Vendor Support Retainer (24.3%) | Annual Maintenance Contract (AMC) (14.5%),1.9666
AWS Business Support Plan - Monthly Fees - Enterprise Account - Jan 2025,Software Licensing,Software Licensing (47.1%) | Maintenance & Support (40.5%) | Operations (8.9%),License Renewal,License Renewal (60.5%) | License Upgrade / Add-on (32.2%) | SaaS Subscription Seats (3.8%),1.7767
Microsoft Azure - Consumption Charges - Pay-As-You-Go - Subscription ID AZR-PROD-001 - Dec 2024,Software Licensing,Software Licensing (78.3%) | Maintenance & Support (15.2%) | Operations (4.5%),License Renewal,License Renewal (59.9%) | License Upgrade / Add-on (28.5%) | SaaS Subscription Seats (4.4%),1.9665
Microsoft Azure - Reserved Instances - 1 Year - D-Series VMs - Finance Workload - Prepayment,Software Licensing,Software Licensing (53.0%) | Maintenance & Support (29.2%) | Operations (10.4%),License Renewal,License Renewal (63.9%) | License Upgrade / Add-on (23.7%) | SaaS Subscription Seats (5.4%),1.4708
Google Cloud Platform (GCP) - BigQuery & GKE & Cloud Storage - Project analytics-prod - Dec 2024,Maintenance & Support,Maintenance & Support (60.2%) | Others (13.9%) | Operations (12.4%),Patch / Version Update,Patch / Version Update (45.5%) | Enterprise Support Plans (34.0%) | Vendor Support Retainer (15.9%),1.6636
AWS Marketplace - Snowflake Private Listing - Credit Consumption - Q4 FY24,Maintenance & Support,Maintenance & Support (52.9%) | Software Licensing (16.7%) | Operations (15.3%),Vendor Support Retainer,Vendor Support Retainer (58.6%) | Annual Maintenance Contract (AMC) (27.3%) | Enterprise Support Plans (9.6%),1.9591
Azure - Microsoft Defender for Cloud - Monthly Usage - All Subscriptions,Software Licensing,Software Licensing (48.3%) | Maintenance & Support (41.2%) | Operations (5.7%),License Renewal,License Renewal (73.9%) | License Upgrade / Add-on (14.4%) | SaaS Subscription Seats (6.1%),2.4238
AWS - Direct Connect - 10Gbps Port - US-East-1 - Monthly Recurring Charge - FY25,Network & Connectivity,Network & Connectivity (84.5%) | Software Licensing (6.2%) | Maintenance & Support (4.7%),Bandwidth & Data Transfer,Bandwidth & Data Transfer (93.8%) | WAN / MPLS Links (3.2%) | Internet & Telecommunications (3.0%),1.5025
GCP - Workspace Enterprise Plus - Annual Commitment - 9000 Users - Global,Software Licensing,Software Licensing (69.7%) | Maintenance & Support (25.4%) | Operations (3.3%),License Renewal,License Renewal (60.0%) | License Upgrade / Add-on (23.7%) | SaaS Subscription Seats (8.5%),1.464
Microsoft 365 E5 License - Annual Subscription - 9200 Users - Global - FY25 Renewal,Software Licensing,Software Licensing (72.8%) | Maintenance & Support (25.7%) | Operations (0.9%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | SaaS Subscription Seats (0.0%),1.4367
Microsoft 365 E3 to E5 Step-up - License True-up - 1200 Users - Q4 FY24,Software Licensing,Software Licensing (96.2%) | Maintenance & Support (3.2%) | Operations (0.4%),License Upgrade / Add-on,License Upgrade / Add-on (99.5%) | License Renewal (0.5%) | SaaS Subscription Seats (0.0%),2.0396
Microsoft Teams Phone System - Calling Plan - 800 Users - Monthly - Dec 2024,Maintenance & Support,Maintenance & Support (47.5%) | Software Licensing (36.0%) | Operations (10.6%),Enterprise Support Plans,Enterprise Support Plans (99.7%) | Patch / Version Update (0.2%) | Vendor Support Retainer (0.1%),1.8298
Zoom Business - Annual Subscription - 1000 Hosts - Enterprise - FY25 Renewal,Software Licensing,Software Licensing (71.5%) | Maintenance & Support (24.0%) | Operations (3.1%),License Renewal,License Renewal (100.0%) | SaaS Subscription Seats (0.0%) | New License Purchase (0.0%),1.5519
Zoom Webinar Add-on - 1000 Attendees - Annual License - Marketing Events,Software Licensing,Software Licensing (57.2%) | Maintenance & Support (36.2%) | Operations (4.0%),License Upgrade / Add-on,License Upgrade / Add-on (99.9%) | License Renewal (0.1%) | New License Purchase (0.0%),1.8867
Slack Enterprise Grid - Annual Subscription - 8500 Active Users - Global - FY25,Software Licensing,Software Licensing (78.1%) | Maintenance & Support (18.5%) | Operations (2.4%),License Upgrade / Add-on,License Upgrade / Add-on (64.2%) | License Renewal (25.1%) | SaaS Subscription Seats (5.4%),1.7973
Google Workspace Enterprise Standard - 500 Users - Marketing Agency Subsidiary - Annual,Maintenance & Support,Maintenance & Support (29.8%) | Software Licensing (26.2%) | Operations (22.7%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (61.3%) | Enterprise Support Plans (21.6%) | Vendor Support Retainer (11.9%),1.7973
Dropbox Business Advanced - Annual Subscription - 300 Users - Design Team,Software Licensing,Software Licensing (68.4%) | Maintenance & Support (19.1%) | Operations (8.3%),License Upgrade / Add-on,License Upgrade / Add-on (67.3%) | License Renewal (22.0%) | SaaS Subscription Seats (4.7%),1.4187
Adobe Creative Cloud All Apps - Enterprise License - 250 Seats - Creative Ops - FY25,Software Licensing,Software Licensing (71.2%) | Maintenance & Support (24.6%) | Operations (2.7%),License Upgrade / Add-on,License Upgrade / Add-on (75.0%) | License Renewal (20.0%) | SaaS Subscription Seats (2.5%),2.1
DocuSign eSignature Business Pro - Envelope Usage Overage - Q4 2024 - Legal & Sales,Maintenance & Support,Maintenance & Support (69.6%) | Others (15.7%) | Operations (11.3%),Vendor Support Retainer,Vendor Support Retainer (50.1%) | Enterprise Support Plans (27.0%) | Patch / Version Update (12.5%),2.0127
ServiceNow ITSM Professional - Annual Subscription - 1200 Fulfiller Users - Global IT,Software Licensing,Software Licensing (91.8%) | Maintenance & Support (5.8%) | Operations (1.2%),License Upgrade / Add-on,License Upgrade / Add-on (44.8%) | License Renewal (27.6%) | BI & Analytics Tool Licenses (11.2%),1.5197
ServiceNow ITOM - Discovery & Event Management - Subscription - FY25,Software Licensing,Software Licensing (65.5%) | Maintenance & Support (27.0%) | Operations (4.1%),License Renewal,License Renewal (73.7%) | License Upgrade / Add-on (11.0%) | New License Purchase (6.6%),1.7901
ServiceNow SecOps - Security Incident Response Module - Annual License Add-on,Software Licensing,Software Licensing (48.5%) | Maintenance & Support (45.4%) | Operations (3.2%),License Upgrade / Add-on,License Upgrade / Add-on (99.8%) | License Renewal (0.2%) | SaaS Subscription Seats (0.0%),1.4061
Atlassian Jira Software Cloud Premium - Annual Subscription - 1200 Users - Engineering,Software Licensing,Software Licensing (60.5%) | Maintenance & Support (33.1%) | Operations (4.2%),License Renewal,License Renewal (48.2%) | License Upgrade / Add-on (40.5%) | SaaS Subscription Seats (5.6%),1.5992
Atlassian Confluence Cloud Premium - Annual Subscription - 2000 Users - Global,Software Licensing,Software Licensing (66.8%) | Maintenance & Support (26.7%) | Operations (4.2%),License Renewal,License Renewal (49.1%) | License Upgrade / Add-on (36.9%) | SaaS Subscription Seats (7.2%),1.479
Atlassian Jira Service Management Cloud - 150 Agents - Annual - IT Support,Maintenance & Support,Maintenance & Support (66.6%) | Operations (20.7%) | Software Licensing (4.9%),Enterprise Support Plans,Enterprise Support Plans (60.2%) | Patch / Version Update (16.5%) | Annual Maintenance Contract (AMC) (16.2%),1.3082
PagerDuty Enterprise - Incident Management Platform - Annual Subscription - 200 Users,Software Licensing,Software Licensing (55.1%) | Maintenance & Support (39.2%) | Operations (3.9%),License Renewal,License Renewal (70.9%) | License Upgrade / Add-on (18.2%) | SaaS Subscription Seats (5.6%),1.4997
New Relic - Full Stack Observability - Data Ingest - Pro Edition - Monthly Overage - Nov 2024,Maintenance & Support,Maintenance & Support (58.4%) | Operations (13.8%) | Software Licensing (13.2%),Enterprise Support Plans,Enterprise Support Plans (68.0%) | Patch / Version Update (15.7%) | Vendor Support Retainer (11.6%),2.1511
Datadog Pro - Infrastructure & APM - Host Usage - Prod Environment - Monthly - Dec 2024,Maintenance & Support,Maintenance & Support (53.8%) | Others (28.0%) | Operations (11.3%),Enterprise Support Plans,Enterprise Support Plans (55.0%) | Patch / Version Update (33.2%) | Vendor Support Retainer (10.0%),1.5944
Splunk Cloud Platform - Workload Pricing - 300GB Daily Ingest - Annual Commitment,Software Licensing,Software Licensing (61.6%) | Maintenance & Support (31.4%) | Operations (3.4%),License Renewal,License Renewal (53.3%) | License Upgrade / Add-on (28.4%) | SaaS Subscription Seats (7.6%),1.7534
Okta Workforce Identity - SSO & MFA - Enterprise Edition - 9000 Users - Annual - FY25 Renewal,Software Licensing,Software Licensing (58.1%) | Maintenance & Support (35.4%) | Operations (4.5%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | SaaS Subscription Seats (0.0%),1.7246
Okta Customer Identity (Auth0) - MAU Overage - 500K MAU - Q4 2024 - E-Commerce Platform,Maintenance & Support,Maintenance & Support (52.3%) | Software Licensing (28.2%) | Operations (9.3%),Enterprise Support Plans,Enterprise Support Plans (49.6%) | Patch / Version Update (39.8%) | Vendor Support Retainer (7.0%),1.7054
CrowdStrike Falcon Complete - Endpoint Protection - 9500 Endpoints - Annual - Global,Maintenance & Support,Maintenance & Support (61.4%) | Software Licensing (12.3%) | Others (10.4%),Enterprise Support Plans,Enterprise Support Plans (63.1%) | Patch / Version Update (16.4%) | Annual Maintenance Contract (AMC) (16.3%),1.5956
Palo Alto Prisma Access - SASE Solution - 8000 Users - Annual Subscription - FY25,Software Licensing,Software Licensing (67.3%) | Maintenance & Support (23.9%) | Operations (5.7%),License Upgrade / Add-on,License Upgrade / Add-on (53.4%) | License Renewal (15.2%) | BI & Analytics Tool Licenses (14.9%),1.7245
Zscaler Internet Access (ZIA) Professional - Annual Subscription - 9000 Users - Renewal,Software Licensing,Software Licensing (93.7%) | Maintenance & Support (4.2%) | Operations (1.3%),License Renewal,License Renewal (100.0%) | SaaS Subscription Seats (0.0%) | New License Purchase (0.0%),1.7455
CyberArk Privileged Access Manager - Annual Maintenance & Support - FY25,Maintenance & Support,Maintenance & Support (87.7%) | Operations (10.6%) | Consulting & Professional Services (0.8%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (72.6%) | Patch / Version Update (11.0%) | Enterprise Support Plans (9.6%),1.4374
SailPoint IdentityIQ - Identity Governance - Annual Subscription - 9000 Identities,Maintenance & Support,Maintenance & Support (43.3%) | Software Licensing (43.1%) | Operations (5.4%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (50.1%) | Enterprise Support Plans (34.5%) | Vendor Support Retainer (8.5%),1.7049
Microsoft Entra ID P2 - Add-on to M365 E3 - 9200 Users - Annual - Identity Protection,Maintenance & Support,Maintenance & Support (48.9%) | Software Licensing (40.2%) | Operations (5.8%),Enterprise Support Plans,Enterprise Support Plans (78.3%) | Annual Maintenance Contract (AMC) (11.6%) | Patch / Version Update (7.9%),1.7391
Varonis Data Security Platform - Annual License - Data Classification & DLP - Global,Software Licensing,Software Licensing (58.6%) | Maintenance & Support (38.7%) | Operations (1.4%),License Upgrade / Add-on,License Upgrade / Add-on (49.0%) | License Renewal (34.8%) | BI & Analytics Tool Licenses (6.3%),1.5843
Proofpoint Email Protection - Advanced Threat Protection - 9200 Users - Annual - FY25,Maintenance & Support,Maintenance & Support (68.1%) | Software Licensing (15.5%) | Operations (8.8%),Enterprise Support Plans,Enterprise Support Plans (67.1%) | Patch / Version Update (16.1%) | Annual Maintenance Contract (AMC) (12.2%),1.5736
KnowBe4 Security Awareness Training - Diamond Tier - 9000 Users - Annual Subscription,Software Licensing,Software Licensing (74.3%) | Maintenance & Support (22.9%) | Operations (1.8%),License Upgrade / Add-on,License Upgrade / Add-on (62.0%) | License Renewal (24.2%) | SaaS Subscription Seats (6.3%),1.6935
Qualys Vulnerability Management - Enterprise Edition - 5000 IPs - Annual - FY25,Maintenance & Support,Maintenance & Support (57.9%) | Software Licensing (13.2%) | Others (12.2%),Enterprise Support Plans,Enterprise Support Plans (63.3%) | Patch / Version Update (16.8%) | Annual Maintenance Contract (AMC) (16.2%),1.5991
Tenable.io Vulnerability Management - Annual License - 4000 Assets - Global IT,Software Licensing,Software Licensing (77.7%) | Maintenance & Support (20.3%) | Operations (1.1%),License Renewal,License Renewal (54.5%) | License Upgrade / Add-on (31.9%) | SaaS Subscription Seats (7.5%),2.577
OneTrust Privacy Management - Cookie Consent & Data Mapping - Annual - Compliance,Maintenance & Support,Maintenance & Support (52.0%) | Others (14.0%) | Operations (13.0%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (67.0%) | Enterprise Support Plans (15.5%) | Patch / Version Update (8.8%),1.2942
Snowflake Enterprise Edition - Credit Consumption - On-Demand - Warehouse: ANALYTICS_WH - Dec 2024,Maintenance & Support,Maintenance & Support (61.0%) | Others (15.4%) | Operations (13.7%),Enterprise Support Plans,Enterprise Support Plans (45.5%) | Vendor Support Retainer (29.4%) | Patch / Version Update (15.0%),1.3615
Snowflake - Snowpipe & Storage Usage - Monthly - Nov 2024 - Data Platform Team,Maintenance & Support,Maintenance & Support (63.8%) | Others (17.6%) | Operations (15.1%),Enterprise Support Plans,Enterprise Support Plans (49.7%) | Patch / Version Update (31.1%) | Vendor Support Retainer (17.3%),1.272
Databricks Lakehouse Platform - DBU Consumption - Premium Tier - Workspace: prod-analytics - Dec 24,Maintenance & Support,Maintenance & Support (46.5%) | Operations (18.1%) | Others (16.8%),Enterprise Support Plans,Enterprise Support Plans (47.7%) | Patch / Version Update (22.1%) | Vendor Support Retainer (19.9%),1.3267
Informatica Intelligent Data Management Cloud (IDMC) - Annual Subscription - Data Integration,Software Licensing,Software Licensing (64.9%) | Maintenance & Support (26.6%) | Operations (4.7%),License Upgrade / Add-on,License Upgrade / Add-on (56.7%) | License Renewal (36.2%) | SaaS Subscription Seats (2.9%),1.3025
Tableau Cloud - Creator & Explorer Licenses - Annual Subscription - 300 Users - BI Team - FY25,Software Licensing,Software Licensing (48.6%) | Maintenance & Support (42.5%) | Operations (5.6%),BI & Analytics Tool Licenses,BI & Analytics Tool Licenses (54.9%) | License Upgrade / Add-on (22.0%) | API / Usage-based Licensing (7.5%),1.6535
Microsoft Power BI Pro - Per User License - 1200 Users - Annual - FY25,Software Licensing,Software Licensing (54.4%) | Maintenance & Support (37.7%) | Operations (3.8%),License Upgrade / Add-on,License Upgrade / Add-on (39.9%) | License Renewal (23.2%) | BI & Analytics Tool Licenses (18.9%),1.8473
Microsoft Power BI Premium Per Capacity - P2 - Monthly - Analytics COE,Maintenance & Support,Maintenance & Support (58.3%) | Others (18.1%) | Software Licensing (10.8%),Enterprise Support Plans,Enterprise Support Plans (74.6%) | Patch / Version Update (14.2%) | Vendor Support Retainer (9.8%),1.5352
MuleSoft Anypoint Platform - Gold Tier - Annual Subscription - Integration - 10M Transactions,Software Licensing,Software Licensing (56.6%) | Maintenance & Support (36.5%) | Operations (3.6%),License Upgrade / Add-on,License Upgrade / Add-on (58.7%) | BI & Analytics Tool Licenses (15.1%) | License Renewal (14.5%),1.7165
Dell Boomi Integration - Professional Plus - Connection Overage - FY25,Maintenance & Support,Maintenance & Support (36.6%) | Others (24.3%) | Software Licensing (12.7%),Enterprise Support Plans,Enterprise Support Plans (47.1%) | Vendor Support Retainer (28.6%) | Patch / Version Update (16.5%),1.4972
Confluent Cloud - Dedicated Cluster - Kafka - Usage Charges - Dec 2024 - Event Streaming,Maintenance & Support,Maintenance & Support (60.1%) | Others (16.0%) | Operations (12.9%),Vendor Support Retainer,Vendor Support Retainer (45.4%) | Enterprise Support Plans (35.7%) | Annual Maintenance Contract (AMC) (11.0%),1.6497
Fivetran - Enterprise Tier - MAR Consumption - Dec 2024 - Data Ingestion Pipeline,Maintenance & Support,Maintenance & Support (48.8%) | Others (29.7%) | Operations (13.8%),Enterprise Support Plans,Enterprise Support Plans (52.0%) | Patch / Version Update (25.9%) | Vendor Support Retainer (17.9%),1.9874
Alteryx Designer - Enterprise License - Annual Subscription - 50 Users - Data Science,Maintenance & Support,Maintenance & Support (51.2%) | Software Licensing (28.7%) | Others (9.5%),Enterprise Support Plans,Enterprise Support Plans (73.4%) | Patch / Version Update (10.9%) | Annual Maintenance Contract (AMC) (10.5%),1.7938
GitHub Enterprise Cloud - Annual Subscription - 800 Users - Engineering - FY25 Renewal,Software Licensing,Software Licensing (80.7%) | Maintenance & Support (15.9%) | Operations (2.5%),License Renewal,License Renewal (100.0%) | SaaS Subscription Seats (0.0%) | New License Purchase (0.0%),1.7944
GitLab Ultimate Self-Managed - Annual Subscription - 600 Users - DevSecOps Platform,Software Licensing,Software Licensing (54.6%) | Maintenance & Support (37.2%) | Operations (4.2%),License Upgrade / Add-on,License Upgrade / Add-on (50.9%) | License Renewal (30.4%) | SaaS Subscription Seats (8.2%),1.8252
JetBrains All Products Pack - Annual Subscription - 150 Users - Engineering Team,Software Licensing,Software Licensing (51.1%) | Maintenance & Support (41.2%) | Operations (5.6%),License Upgrade / Add-on,License Upgrade / Add-on (71.2%) | License Renewal (18.8%) | SaaS Subscription Seats (4.4%),1.6365
Docker Business - Annual Subscription - 500 Developers - Container Platform,Software Licensing,Software Licensing (74.3%) | Maintenance & Support (20.8%) | Operations (3.4%),License Upgrade / Add-on,License Upgrade / Add-on (69.1%) | License Renewal (19.2%) | SaaS Subscription Seats (4.7%),1.6669
SonarQube Enterprise Edition - Annual License - Code Quality & Security - 5M LOC,Maintenance & Support,Maintenance & Support (76.0%) | Software Licensing (19.5%) | Operations (2.7%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (46.3%) | Enterprise Support Plans (29.9%) | Patch / Version Update (14.9%),1.5376
Snyk - Developer Security Platform - Annual Subscription - 500 Developers - AppSec,Software Licensing,Software Licensing (71.3%) | Maintenance & Support (24.1%) | Operations (3.2%),License Upgrade / Add-on,License Upgrade / Add-on (58.7%) | License Renewal (24.1%) | SaaS Subscription Seats (6.8%),1.6842
JFrog Artifactory Cloud Enterprise - Annual Subscription - Artifact Management - FY25,Software Licensing,Software Licensing (64.2%) | Maintenance & Support (29.1%) | Operations (3.5%),License Renewal,License Renewal (64.2%) | License Upgrade / Add-on (23.1%) | SaaS Subscription Seats (6.4%),1.622
HashiCorp Vault & Terraform Cloud - Enterprise License - Infrastructure Automation,Software Licensing,Software Licensing (59.6%) | Maintenance & Support (31.3%) | Operations (6.3%),License Renewal,License Renewal (45.5%) | License Upgrade / Add-on (41.4%) | SaaS Subscription Seats (6.6%),1.6065
Kubernetes Support - Red Hat OpenShift Platform Plus - Annual Subscription - 100 Cores,Software Licensing,Software Licensing (54.1%) | Maintenance & Support (37.1%) | Operations (6.6%),License Upgrade / Add-on,License Upgrade / Add-on (86.7%) | License Renewal (8.4%) | SaaS Subscription Seats (2.5%),1.7902
Postman Enterprise - API Platform - Annual Subscription - 400 Users - Integration Team,Software Licensing,Software Licensing (69.0%) | Maintenance & Support (26.5%) | Operations (3.0%),License Upgrade / Add-on,License Upgrade / Add-on (56.5%) | BI & Analytics Tool Licenses (22.0%) | SaaS Subscription Seats (8.8%),1.623
BlackLine Financial Close Management - Annual Subscription - Finance - FY25 Renewal,Maintenance & Support,Maintenance & Support (53.1%) | Software Licensing (39.4%) | Operations (5.2%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (84.3%) | Enterprise Support Plans (6.9%) | Vendor Support Retainer (6.5%),1.4598
BlackLine Accounts Reconciliation - Transaction Matching Add-on - Annual,Maintenance & Support,Maintenance & Support (67.1%) | Others (19.0%) | Operations (10.4%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (92.3%) | Enterprise Support Plans (3.7%) | Vendor Support Retainer (2.3%),1.4281
