Narration,main_category,main_top3,sub_category,sub_top3,time_taken_sec
"Okta Inc - Workforce Identity Cloud, Adaptive Multi-Factor Authentication (MFA) & Lifecycle Management - 22,000 Users",Maintenance & Support,Maintenance & Support (63.8%) | Operations (15.2%) | Software Licensing (12.3%),Patch / Version Update,Patch / Version Update (51.4%) | Enterprise Support Plans (41.2%) | Vendor Support Retainer (5.3%),1.3411
"CrowdStrike Falcon Complete - Managed Endpoint Detection & Response (EDR) & Threat Hunting Platform - 25,000 Endpoints",Maintenance & Support,Maintenance & Support (55.8%) | Others (14.1%) | Operations (13.8%),Enterprise Support Plans,Enterprise Support Plans (63.8%) | Vendor Support Retainer (19.9%) | Patch / Version Update (10.4%),1.3455
Zscaler Internet Access (ZIA) & Zscaler Private Access (ZPA) - Zero Trust Exchange Architecture Enterprise Agreement,Maintenance & Support,Maintenance & Support (45.7%) | Software Licensing (32.6%) | Operations (6.7%),Enterprise Support Plans,Enterprise Support Plans (71.6%) | Vendor Support Retainer (16.8%) | Patch / Version Update (7.1%),1.3394
Palo Alto Networks - Prisma Cloud Enterprise CSPM & Container Security Software Suite - Annual Term FY26,Maintenance & Support,Maintenance & Support (52.3%) | Software Licensing (27.6%) | Operations (10.7%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (42.5%) | Enterprise Support Plans (39.5%) | Patch / Version Update (10.1%),1.7533
"CyberArk Software Ltd - Privileged Access Security (PAS), Enterprise Password Vault & Cloud Entitlements Sub",Maintenance & Support,Maintenance & Support (51.4%) | Software Licensing (27.3%) | Operations (11.8%),Enterprise Support Plans,Enterprise Support Plans (69.8%) | Patch / Version Update (15.0%) | Vendor Support Retainer (12.8%),1.8008
SailPoint Technologies - IdentityIQ & IdentityNow SaaS Governance Platform - Privileged User Access Recertification Sub,Maintenance & Support,Maintenance & Support (48.1%) | Operations (16.6%) | Others (15.8%),Patch / Version Update,Patch / Version Update (74.8%) | Enterprise Support Plans (12.9%) | Vendor Support Retainer (10.6%),1.4464
"Qualys Inc - Vulnerability Management, Detection & Response (VMDR) with Patch Management Cloud Agent Subscription",Maintenance & Support,Maintenance & Support (47.5%) | Software Licensing (43.8%) | Operations (5.5%),Patch / Version Update,Patch / Version Update (97.1%) | Vendor Support Retainer (1.8%) | Enterprise Support Plans (0.9%),1.3821
"OneTrust LLC - Enterprise Privacy Management, Cookie Consent & GDPR/CCPA Compliance SaaS Tool - Annual Contract",Maintenance & Support,"Maintenance & Support (39.9%) | Software Licensing (37.6%) | Governance, Risk & Compliance (7.4%)",Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (67.4%) | Vendor Support Retainer (21.8%) | Enterprise Support Plans (7.4%),1.7597
Snowflake Inc - Data Cloud Enterprise Edition Capacity Credit Drawdown - Contract ID SNOW-9942 - Consumption Aug 2026,Maintenance & Support,Maintenance & Support (52.9%) | Software Licensing (16.2%) | Operations (16.1%),Enterprise Support Plans,Enterprise Support Plans (48.2%) | Annual Maintenance Contract (AMC) (21.1%) | Vendor Support Retainer (20.0%),1.5299
"Databricks Inc - Unified Lakehouse Platform, All-Purpose Compute & Delta Lake Processing DBUs - Inv Ref DB-6612",Maintenance & Support,Maintenance & Support (47.0%) | Others (30.6%) | Operations (15.4%),Vendor Support Retainer,Vendor Support Retainer (43.8%) | Patch / Version Update (22.6%) | Enterprise Support Plans (22.1%),1.5843
Microsoft Power BI Premium - Per Capacity (P2 SKU) Dedicated Analytics Workspace Node - Corp Finance Reporting,Maintenance & Support,Maintenance & Support (49.2%) | Others (18.6%) | Software Licensing (15.6%),Enterprise Support Plans,Enterprise Support Plans (51.2%) | Vendor Support Retainer (27.5%) | Patch / Version Update (16.2%),1.3125
Tableau Software Inc - Server License Agreement & Creator/Explorer Desktop Bundles - BI Center of Excellence,Software Licensing,Software Licensing (49.8%) | Maintenance & Support (41.9%) | Operations (4.5%),License Upgrade / Add-on,License Upgrade / Add-on (96.4%) | License Renewal (1.4%) | SaaS Subscription Seats (0.8%),1.3579
Alteryx Inc - Enterprise Server Automation & Designer Desktop Licensing - Data Science Team Q3 Fee,Software Licensing,Software Licensing (39.2%) | Maintenance & Support (38.8%) | Operations (11.2%),License Upgrade / Add-on,License Upgrade / Add-on (63.0%) | License Renewal (29.2%) | SaaS Subscription Seats (3.4%),1.4282
"OpenAI Enterprise - Tier-5 API Token Consumption, Dedicated Endpoint Provisioning & GPT-4o Enterprise Access (Aug 2026)",Software Licensing,Software Licensing (53.6%) | Maintenance & Support (33.5%) | Operations (8.8%),License Upgrade / Add-on,License Upgrade / Add-on (72.4%) | BI & Analytics Tool Licenses (12.4%) | SaaS Subscription Seats (5.7%),1.514
Confluent Inc - Apache Kafka Enterprise Event Streaming Cloud Cluster & Schema Registry - Production Billing,Maintenance & Support,Maintenance & Support (60.4%) | Others (22.9%) | Operations (9.2%),Vendor Support Retainer,Vendor Support Retainer (43.1%) | Enterprise Support Plans (42.1%) | Patch / Version Update (9.2%),1.3316
Informatica LLC - Intelligent Data Management Cloud (IDMC) Integration Processing Units (IPU) Annual Drawdown,Maintenance & Support,Maintenance & Support (54.9%) | Others (24.7%) | Operations (12.3%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (36.8%) | Enterprise Support Plans (26.9%) | Vendor Support Retainer (23.3%),1.3405
"GitHub Enterprise Cloud - Corporate Organization Seats (1,800 Developers) & GitHub Copilot Enterprise Add-On Sub",Maintenance & Support,Maintenance & Support (36.5%) | Software Licensing (34.6%) | Operations (16.0%),Enterprise Support Plans,Enterprise Support Plans (81.9%) | Patch / Version Update (14.4%) | Vendor Support Retainer (2.8%),1.7505
"Atlassian Pty Ltd - Jira Software Enterprise, Confluence & Jira Service Management (Cloud) - Multi-Tier User Billing",Software Licensing,Software Licensing (71.7%) | Maintenance & Support (21.0%) | Operations (5.3%),License Renewal,License Renewal (46.6%) | License Upgrade / Add-on (39.5%) | SaaS Subscription Seats (6.3%),1.9597
"JFrog Ltd - Enterprise X Unified DevOps Platform, Artifactory Enterprise+ Cloud Registry Subscription FY26",Software Licensing,Software Licensing (41.2%) | Maintenance & Support (37.7%) | Operations (10.4%),License Renewal,License Renewal (68.8%) | License Upgrade / Add-on (21.5%) | SaaS Subscription Seats (4.4%),2.3177
GitLab Inc - Ultimate Tier Self-Managed DevSecOps Platform - Code Scanning & Vulnerability Management (600 Seats),Maintenance & Support,Maintenance & Support (50.5%) | Others (15.3%) | Operations (14.4%),Enterprise Support Plans,Enterprise Support Plans (56.4%) | Patch / Version Update (26.3%) | Vendor Support Retainer (14.2%),1.516
HashiCorp Inc - Terraform Cloud Enterprise & Vault Enterprise High-Availability Cluster Licensing Renewal,Software Licensing,Software Licensing (90.4%) | Maintenance & Support (6.3%) | Operations (2.7%),License Renewal,License Renewal (100.0%) | New License Purchase (0.0%) | License Upgrade / Add-on (0.0%),1.7649
SonarSource - SonarQube Enterprise Edition Static Application Security Testing (SAST) - 50M Lines of Code Tier,Maintenance & Support,Maintenance & Support (55.5%) | Others (26.8%) | Operations (12.3%),Enterprise Support Plans,Enterprise Support Plans (56.3%) | Vendor Support Retainer (20.0%) | Patch / Version Update (16.1%),1.6587
Docker Inc - Docker Business Subscription - Secure Registry & Desktop Developer Seats Annual Agreement,Software Licensing,Software Licensing (48.5%) | Maintenance & Support (29.9%) | Operations (13.1%),License Upgrade / Add-on,License Upgrade / Add-on (59.5%) | License Renewal (28.0%) | BI & Analytics Tool Licenses (4.9%),2.4539
ServiceNow Inc - IT Service Management (ITSM) Pro & IT Operations Management (ITOM) Enterprise SaaS - Q3 FY26,Maintenance & Support,Maintenance & Support (61.8%) | Operations (16.0%) | Others (8.8%),Patch / Version Update,Patch / Version Update (51.3%) | Enterprise Support Plans (31.7%) | Vendor Support Retainer (12.5%),2.2315
"Datadog Inc - Infrastructure Monitoring, APM Pro, Synthetic Checks & Log Ingestion Retainers - Mo. Usage Invoice",Maintenance & Support,Maintenance & Support (46.4%) | Others (21.1%) | Operations (19.8%),Vendor Support Retainer,Vendor Support Retainer (85.8%) | Enterprise Support Plans (6.6%) | Annual Maintenance Contract (AMC) (5.5%),2.1855
Splunk Inc - Enterprise Cloud Workload Pricing Model & Enterprise Security (SIEM) Ingestion Allocation - Term FY26,Maintenance & Support,Maintenance & Support (53.4%) | Software Licensing (25.4%) | Operations (9.2%),Enterprise Support Plans,Enterprise Support Plans (52.2%) | Vendor Support Retainer (19.3%) | Patch / Version Update (17.1%),2.0655
Dynatrace LLC - OneAgent Full-Stack Application Observability & Digital Experience Monitoring (DEM) Units,Maintenance & Support,Maintenance & Support (59.5%) | Operations (13.5%) | Others (13.5%),Patch / Version Update,Patch / Version Update (36.1%) | Vendor Support Retainer (32.2%) | Enterprise Support Plans (28.3%),1.9397
New Relic Inc - Unified Observability Platform Telemetry Data Ingestion & Full Platform User Lic - Aug 2026,Software Licensing,Software Licensing (82.8%) | Maintenance & Support (15.1%) | Operations (1.5%),License Upgrade / Add-on,License Upgrade / Add-on (46.7%) | License Renewal (44.4%) | SaaS Subscription Seats (3.8%),2.1889
"PagerDuty Inc - Enterprise Incident Response Management, AI AIOps & On-Call Automation Tool - Mo. Sub",Maintenance & Support,Maintenance & Support (63.0%) | Operations (17.4%) | Others (13.7%),Enterprise Support Plans,Enterprise Support Plans (47.8%) | Patch / Version Update (30.9%) | Vendor Support Retainer (18.6%),2.0322
"Microsoft Ireland Operations - Microsoft 365 E5 Enterprise Suite, EMS & Copilot for M365 (20,000 Seats) - Mo. Rec",Software Licensing,Software Licensing (64.7%) | Maintenance & Support (21.6%) | Operations (8.7%),License Upgrade / Add-on,License Upgrade / Add-on (69.3%) | BI & Analytics Tool Licenses (13.3%) | SaaS Subscription Seats (10.8%),2.3878
Slack Technologies / Salesforce - Enterprise Grid Collaboration Platform - Global Workforce Deployment FY26,Maintenance & Support,Maintenance & Support (52.6%) | Software Licensing (21.6%) | Operations (11.8%),Patch / Version Update,Patch / Version Update (43.4%) | Enterprise Support Plans (30.9%) | Vendor Support Retainer (20.7%),2.2937
"Zoom Video Communications - Enterprise Zoom Meetings, Zoom Rooms & Cloud Phone PBX Telephony System - Mo. Billing",Maintenance & Support,Maintenance & Support (50.6%) | Software Licensing (15.3%) | Operations (14.7%),Enterprise Support Plans,Enterprise Support Plans (67.1%) | Vendor Support Retainer (20.7%) | Patch / Version Update (8.8%),2.054
Adobe Systems Software - Creative Cloud for Enterprise Complete & Adobe Acrobat Pro DC Sub (650 Named Users),Software Licensing,Software Licensing (49.3%) | Maintenance & Support (43.1%) | Operations (5.3%),License Upgrade / Add-on,License Upgrade / Add-on (97.0%) | License Renewal (2.7%) | SaaS Subscription Seats (0.2%),2.0918
DocuSign Inc - Corporate Intelligent Agreement Management (IAM) & Electronic Signature API Envelope Tier Purchase,Maintenance & Support,Maintenance & Support (67.4%) | Operations (14.4%) | Others (9.5%),Vendor Support Retainer,Vendor Support Retainer (77.2%) | Enterprise Support Plans (11.3%) | Annual Maintenance Contract (AMC) (7.7%),2.0258
"Box Inc - Enterprise Plus Cloud Content Management, Retention Shield & Unlimited Storage - Annual License",Software Licensing,Software Licensing (91.1%) | Maintenance & Support (8.1%) | Operations (0.7%),License Upgrade / Add-on,License Upgrade / Add-on (83.4%) | License Renewal (15.6%) | SaaS Subscription Seats (0.5%),2.227
"Blue Yonder Group - Enterprise Demand Planning, Supply Chain Planning & Fulfillment SaaS Engine - Q3 2026",Maintenance & Support,Maintenance & Support (62.8%) | Operations (15.2%) | Others (9.4%),Enterprise Support Plans,Enterprise Support Plans (73.7%) | Patch / Version Update (14.8%) | Vendor Support Retainer (8.8%),2.0718
Manhattan Associates - Active Warehouse Management (WMS) & Transportation Management (TMS) Cloud Subscription,Software Licensing,Software Licensing (43.5%) | Maintenance & Support (37.0%) | Operations (13.6%),License Upgrade / Add-on,License Upgrade / Add-on (93.9%) | License Renewal (3.8%) | SaaS Subscription Seats (1.2%),2.0939
"FourKites Inc - Real-time Multimodal Supply Chain Visibility, Dynamic Tracking & Ocean Container SaaS Fee",Maintenance & Support,Maintenance & Support (58.7%) | Operations (16.7%) | Others (13.6%),Vendor Support Retainer,Vendor Support Retainer (78.7%) | Enterprise Support Plans (15.0%) | Annual Maintenance Contract (AMC) (3.6%),1.9761
"Descartes Systems Group - Global Logistics Network (GLN), Customs Filing & Ocean Freight EDI Messaging Svc",Maintenance & Support,Maintenance & Support (57.3%) | Others (20.1%) | Operations (16.0%),Vendor Support Retainer,Vendor Support Retainer (58.5%) | Enterprise Support Plans (21.2%) | Patch / Version Update (14.0%),2.0453
LeanIX GmbH - Enterprise Architecture Management (EAM) Platform & SaaS Management Tool Sub - Corp IT Strategy,Maintenance & Support,Maintenance & Support (48.5%) | Others (17.8%) | Software Licensing (15.5%),Patch / Version Update,Patch / Version Update (43.0%) | Enterprise Support Plans (27.9%) | Vendor Support Retainer (26.0%),2.0391
"Diligent Corporation - Diligent Boards Portal, Entity Management & Global Governance Cloud Solution - Annual Fee",Maintenance & Support,Maintenance & Support (47.4%) | Software Licensing (28.9%) | Operations (13.1%),Annual Maintenance Contract (AMC),Annual Maintenance Contract (AMC) (44.0%) | Enterprise Support Plans (37.6%) | Vendor Support Retainer (10.1%),2.1328
Ironclad Inc - Digital Contract Lifecycle Management (CLM) & Automated Legal Workflow Platform - Enterprise Lic,Maintenance & Support,Maintenance & Support (61.4%) | Software Licensing (22.7%) | Operations (10.2%),Enterprise Support Plans,Enterprise Support Plans (34.5%) | Vendor Support Retainer (34.4%) | Patch / Version Update (24.8%),2.1579
Relativity ODA LLC - RelativityOne E-Discovery & Litigation Hold SaaS Platform - Active Workspace Hosting Fee,Software Licensing,Software Licensing (48.0%) | Maintenance & Support (30.4%) | Operations (7.5%),License Upgrade / Add-on,License Upgrade / Add-on (66.1%) | License Renewal (25.0%) | SaaS Subscription Seats (3.4%),2.5829
Accenture LLP - SAP S/4HANA Finance Migration & General Ledger Optimization Support - Phase 4 Retainer - Aug 2026,Operations,Operations (50.1%) | Maintenance & Support (31.2%) | Others (11.2%),IT Service Management,IT Service Management (91.1%) | Cost of Operations (Run & Manage) (8.0%) | Batch / Job Processing (0.5%),2.2344
Deloitte Consulting - Cyber Risk Advisory & Okta Workforce IAM Post-Implementation Assurance - Inv Ref DEL-88124,Maintenance & Support,Maintenance & Support (42.5%) | Operations (20.2%) | Others (14.8%),Patch / Version Update,Patch / Version Update (74.5%) | Vendor Support Retainer (14.8%) | Enterprise Support Plans (5.5%),2.1218
